"state","first_cep_sy_end","source"
"AK",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"AL",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"AR",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"AZ",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"CA",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"CO",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"CT",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"DC",2013,"added SY 2012-13: District of Columbia, New York, Ohio, and West Virginia (FR: school year beginning July 1, 2012). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"DE",2015,"nationwide from SY 2014-15 (FR: school year beginning July 1, 2014). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
"FL",2014,"added SY 2013-14: Florida, Georgia, Maryland, and Massachusetts (FR: school year beginning July 1, 2013). USDA FNS, Community Eligibility Provision Evaluation (Summary), Office of Policy Support, February 2014: https://www.fns.usda.gov/sites/default/files/CEPEvaluation_Summary.pdf (accessed 2026-09-11) | USDA FNS, proposed rule 'Eliminating Applications Through Community Eligibility', 78 FR 65890-65891, Nov 4, 2013: https://www.govinfo.gov/content/pkg/FR-2013-11-04/pdf/2013-25922.pdf (accessed 2026-09-11)"
