"state","treat_year","excluded","n_window_events","group"
"AK",NA,FALSE,0,"never"
"AL",NA,FALSE,0,"never"
"AR",NA,TRUE,0,"excluded"
"AZ",NA,FALSE,0,"never"
"CA",NA,TRUE,1,"excluded"
"CO",2012,FALSE,1,"treated"
"CT",NA,FALSE,0,"never"
"DC",NA,FALSE,0,"never"
"DE",NA,FALSE,0,"never"
"FL",NA,FALSE,0,"never"
"GA",NA,FALSE,0,"never"
"HI",NA,FALSE,0,"never"
"IA",NA,FALSE,0,"never"
"ID",NA,TRUE,0,"excluded"
"IL",2018,FALSE,1,"treated"
"IN",2020,FALSE,1,"treated"
"KS",NA,TRUE,2,"excluded"
"KY",NA,FALSE,0,"never"
"LA",NA,FALSE,0,"never"
"MA",NA,FALSE,0,"never"
"MD",2011,FALSE,1,"treated"
"ME",NA,FALSE,0,"never"
"MI",NA,FALSE,0,"never"
"MN",NA,FALSE,0,"never"
"MO",NA,TRUE,0,"excluded"
"MS",2025,FALSE,1,"treated"
"MT",NA,TRUE,0,"excluded"
"NC",NA,TRUE,0,"excluded"
"ND",NA,TRUE,1,"excluded"
"NE",NA,FALSE,0,"never"
"NH",NA,TRUE,1,"excluded"
"NJ",NA,TRUE,0,"excluded"
"NM",2017,FALSE,1,"treated"
"NV",2025,FALSE,1,"treated"
"NY",NA,TRUE,0,"excluded"
"OH",2019,FALSE,1,"treated"
"OK",NA,FALSE,0,"never"
"OR",NA,FALSE,0,"never"
"PA",2022,FALSE,1,"treated"
"RI",NA,FALSE,0,"never"
"SC",NA,FALSE,0,"never"
"SD",2024,FALSE,1,"treated"
"TN",2023,FALSE,1,"treated"
"TX",NA,FALSE,0,"never"
"UT",NA,FALSE,0,"never"
"VA",NA,FALSE,0,"never"
"VT",NA,FALSE,0,"never"
"WA",2022,FALSE,2,"treated"
"WI",NA,FALSE,0,"never"
"WV",NA,FALSE,0,"never"
"WY",NA,FALSE,0,"never"
