"state","treat_year","excluded","n_window_events","group"
"AK",NA,FALSE,0,"never"
"AL",NA,FALSE,0,"never"
"AR",NA,TRUE,0,"excluded"
"AZ",NA,FALSE,0,"never"
"CA",NA,TRUE,0,"excluded"
"CO",NA,FALSE,0,"never"
"CT",NA,FALSE,0,"never"
"DC",NA,FALSE,0,"never"
"DE",NA,FALSE,0,"never"
"FL",NA,FALSE,0,"never"
"GA",NA,FALSE,0,"never"
"HI",NA,FALSE,0,"never"
"IA",NA,FALSE,0,"never"
"ID",NA,TRUE,0,"excluded"
"IL",NA,FALSE,0,"never"
"IN",2011,FALSE,1,"treated"
"KS",NA,TRUE,1,"excluded"
"KY",NA,FALSE,0,"never"
"LA",NA,FALSE,0,"never"
"MA",NA,FALSE,0,"never"
"MD",NA,FALSE,0,"never"
"ME",NA,FALSE,0,"never"
"MI",NA,FALSE,0,"never"
"MN",NA,FALSE,0,"never"
"MO",NA,TRUE,0,"excluded"
"MS",NA,FALSE,0,"never"
"MT",NA,TRUE,0,"excluded"
"NC",NA,TRUE,0,"excluded"
"ND",NA,TRUE,0,"excluded"
"NE",NA,FALSE,0,"never"
"NH",NA,TRUE,1,"excluded"
"NJ",NA,TRUE,0,"excluded"
"NM",NA,FALSE,0,"never"
"NV",NA,FALSE,0,"never"
"NY",NA,TRUE,0,"excluded"
"OH",NA,FALSE,0,"never"
"OK",NA,FALSE,0,"never"
"OR",NA,FALSE,0,"never"
"PA",NA,FALSE,0,"never"
"RI",NA,FALSE,0,"never"
"SC",NA,FALSE,0,"never"
"SD",NA,FALSE,0,"never"
"TN",NA,FALSE,0,"never"
"TX",NA,FALSE,0,"never"
"UT",NA,FALSE,0,"never"
"VA",NA,FALSE,0,"never"
"VT",NA,FALSE,0,"never"
"WA",2012,FALSE,2,"treated"
"WI",NA,FALSE,0,"never"
"WV",NA,FALSE,0,"never"
"WY",NA,FALSE,0,"never"
