state,sy_end,dataset,manifest_status,mapping_status,file_name,sheet_or_table,district_rows,district_id_col,subgroup_col,subgroup_black,subgroup_hispanic,subgroup_white,subject_col,subject_math,subject_rla,grade_col,hs_grade_or_course,tested_count_col,proficiency_rate_col,proficient_levels,suppression_symbols,notes
AL,2022,hs_reportcard_al_math; hs_reportcard_al_rla,hs_reportcard_al_math=archived; hs_reportcard_al_rla=archived,mapped,hs_reportcards/AL/RD_2023331_2021-2022-Math-Assessment_V1.0.xlsb | hs_reportcards/AL/2021-2022-ELA-Assessment.xlsb,sheet Participation and Proficiency; header row 5,School Code = 0000 (system level); Gender = All Gender; SubPopulation = All SubPopulation,System Code (ALSDE 3-digit system code),Race (with Ethnicity = All Ethnicity) for Black and White; Ethnicity (with Race = All Race) for Hispanic,Race = Black or African American,Ethnicity = Hispanic/Latino,Race = White,Subject (file),Math,ELA,Grade,"High School (grade 11 accountability test, ACT with Writing)",(none),Percent Proficient,Levels 3 + 4 (Percent Proficient as published),* (10 or fewer students),"No tested count: the Section 5 floor falls back to Alabama's minimum group size (the '*' rule, 10 or fewer). Race rows include Hispanic students of that race (Race and Ethnicity are separate fields). Participation Rate and Alternate Assessed Percent are printed."
AL,2023,hs_reportcard_al_math; hs_reportcard_al_rla,hs_reportcard_al_math=archived; hs_reportcard_al_rla=archived,mapped,hs_reportcards/AL/RD_SP_2023731_2022-2023-MATH-Participation-and-Proficiency_V1.0.xlsb | hs_reportcards/AL/RD_SP_2023731_2022-2023-ELA-Participation-and-Proficiency_V1.0.xlsb,sheet Participation and Proficiency; header row 5,School Code = 0000 (system level); Gender = All Gender; SubPopulation = All SubPopulation,System Code (ALSDE 3-digit system code),Race (with Ethnicity = All Ethnicity) for Black and White; Ethnicity (with Race = All Race) for Hispanic,Race = Black or African American,Ethnicity = Hispanic/Latino,Race = White,Subject (file),Math,ELA,Grade,11 (ACT with Writing),(none),Percent Proficient,Levels 3 + 4 (Percent Proficient as published),* (10 or fewer students),"No tested count: the Section 5 floor falls back to Alabama's minimum group size (the '*' rule, 10 or fewer). Race rows include Hispanic students of that race (Race and Ethnicity are separate fields). Participation Rate and Alternate Assessed Percent are printed."
AL,2024,hs_reportcard_al_math; hs_reportcard_al_rla,hs_reportcard_al_math=archived; hs_reportcard_al_rla=archived,mapped,hs_reportcards/AL/RD_SP_202488_2023-2024-Participation-and-Proficiency-Math_v1.0.xlsb | hs_reportcards/AL/RD_SP_202488_2023-2024-Participation-and-Proficiency-ELA_v1.0.xlsb,"sheets County, City and Charter (State is the state level); header row 5",School Code = 0000 (system level); Gender = All Gender; SubPopulation = All SubPopulation,System Code (ALSDE 3-digit system code),Race (with Ethnicity = All Ethnicity) for Black and White; Ethnicity (with Race = All Race) for Hispanic,Race = Black or African American,Ethnicity = Hispanic/Latino,Race = White,Subject (file),Math,ELA,Grade,11 (ACT with Writing),(none),Percent Proficient,Levels 3 + 4 (Percent Proficient as published),* (10 or fewer students),"No tested count: the Section 5 floor falls back to Alabama's minimum group size (the '*' rule, 10 or fewer). Race rows include Hispanic students of that race (Race and Ethnicity are separate fields). Participation Rate and Alternate Assessed Percent are printed."
AL,2025,hs_reportcard_al_math; hs_reportcard_al_rla,hs_reportcard_al_math=archived; hs_reportcard_al_rla=archived,mapped,hs_reportcards/AL/RD_SP_2025813_2024-2025ParticipationandProficiencyMath_v1.xlsx | hs_reportcards/AL/RD_SP_2025813_2024-2025ParticipationandProficiencyELA_v1.xlsx,"sheets County, City and Charter; header row 6 (sheet title in row 1)",School Code = 0000 (system level); Gender = All Gender; SubPopulation = All SubPopulation,System Code (ALSDE 3-digit system code),Race (with Ethnicity = All Ethnicity) for Black and White; Ethnicity (with Race = All Race) for Hispanic,Race = Black or African American,Ethnicity = Hispanic/Latino,Race = White,Subject (file),Math,ELA,Grade,11 (ACT with Writing),(none),Percent Proficient,Levels 3 + 4 (Percent Proficient as published),* (10 or fewer students),"No tested count: the Section 5 floor falls back to Alabama's minimum group size (the '*' rule, 10 or fewer). Race rows include Hispanic students of that race (Race and Ethnicity are separate fields). Participation Rate and Alternate Assessed Percent are printed."
AR,2022,hs_reportcard_ar,hs_reportcard_ar=archived,unavailable,hs_reportcards/AR/2021-2022_ACT_Aspire_Preliminary_Scores_Added_Sheets_LS.xlsx,,,,,,,,,,,,ACT Aspire grade 10 (test_replacement.csv),,,,,"Excluded (docs/deviations_run2.md, 2026-09-16): race appears only at the state level (Demographics sheet); the Districts sheet is district by grade for all students. Archived as the record of the check."
AZ,2022,hs_reportcard_az,hs_reportcard_az=archived,mapped,hs_reportcards/AZ/math_ela_assessments_2022_redacted.xlsx,sheet District,every row of sheet District; FAY Status = All,District Entity ID (ADE entity id); District CTDS (DistrictCTDS from 2024),Subgroup,Black or African American,Hispanic or Latino,White,Subject (with Test Level),Mathematics / Test Level Math Grade 11,English Language Arts / Test Level ELA Grade 11,Test Level,"Grade 11 (Math Grade 11, ELA Grade 11: the ACT); Alt Math/ELA Grade 11 is the alternate assessment",Number Tested,Percent Passing,Proficiency Level 3 + Level 4 (Percent Passing),* ; <2 ; >98,"Number Tested is '*' in almost every district row (redacted file), so the Section 5 floor falls back to Arizona's minimum group size. No grade 9 (ACT Aspire) test level is in the files; the high school rows are grade 11. Regular and alternate rows are separate and cannot be pooled without counts."
AZ,2023,hs_reportcard_az,hs_reportcard_az=archived,mapped,hs_reportcards/AZ/math_ela_assessments_2023_publish[1].xlsx,sheet District,every row of sheet District; FAY Status = All,District Entity ID (ADE entity id); District CTDS (DistrictCTDS from 2024),Subgroup,Black or African American,Hispanic or Latino,White,Subject (with Test Level),Mathematics / Test Level Math Grade 11,English Language Arts / Test Level ELA Grade 11,Test Level,"Grade 11 (Math Grade 11, ELA Grade 11: the ACT); Alt Math/ELA Grade 11 is the alternate assessment",Number Tested,Percent Passing,Proficiency Level 3 + Level 4 (Percent Passing),* ; <2 ; >98,"Number Tested is '*' in almost every district row (redacted file), so the Section 5 floor falls back to Arizona's minimum group size. No grade 9 (ACT Aspire) test level is in the files; the high school rows are grade 11. Regular and alternate rows are separate and cannot be pooled without counts."
AZ,2024,hs_reportcard_az,hs_reportcard_az=archived,mapped,hs_reportcards/AZ/math_ela_assessmentsfy24.xlsx,sheet District,every row of sheet District; FAY Status = All,District Entity ID (ADE entity id); District CTDS (DistrictCTDS from 2024),Subgroup,Black or African American,Hispanic or Latino,White,Subject (with Test Level),Mathematics / Test Level Math Grade 11,English Language Arts / Test Level ELA Grade 11,Test Level,"Grade 11 (Math Grade 11, ELA Grade 11: the ACT); Alt Math/ELA Grade 11 is the alternate assessment",Number Tested,Percent Passing,Proficiency Level 3 + Level 4 (Percent Passing),* ; <2 ; >98,"Number Tested is '*' in almost every district row (redacted file), so the Section 5 floor falls back to Arizona's minimum group size. No grade 9 (ACT Aspire) test level is in the files; the high school rows are grade 11. Regular and alternate rows are separate and cannot be pooled without counts."
AZ,2025,hs_reportcard_az,hs_reportcard_az=archived,mapped,hs_reportcards/AZ/math_ela_assessmentsfy25.xlsx,sheet District,every row of sheet District; FAY Status = All,District Entity ID (ADE entity id); District CTDS (DistrictCTDS from 2024),Subgroup,Black or African American,Hispanic or Latino,White,Subject (with Test Level),Mathematics / Test Level Math Grade 11,English Language Arts / Test Level ELA Grade 11,Test Level,"Grade 11 (Math Grade 11, ELA Grade 11: the ACT); Alt Math/ELA Grade 11 is the alternate assessment",Number Tested,Percent Passing,Proficiency Level 3 + Level 4 (Percent Passing),* ; <2 ; >98,"Number Tested is '*' in almost every district row (redacted file), so the Section 5 floor falls back to Arizona's minimum group size. No grade 9 (ACT Aspire) test level is in the files; the high school rows are grade 11. Regular and alternate rows are separate and cannot be pooled without counts."
CA,2022,hs_reportcard_ca; hs_reportcard_ca_entities,hs_reportcard_ca=archived; hs_reportcard_ca_entities=archived,mapped,hs_reportcards/CA/sb_ca2022_all_csv_v1.zip | hs_reportcards/CA/sb_ca2022entities_csv.zip,caret-delimited text in the zip (sb_caYYYY_all_csv_v1.txt); entity names in the separate entities zip,"School Code = 0000000 and Type ID = 6 (district); Type ID 5 is county, 4 state",County Code + District Code (CDS 2 + 5 digits),Student Group ID,74,78,80,Test ID,2,1,Grade,11 (Smarter Balanced; Test Type B),Students with Scores,Percentage Standard Met and Above,Standard Met + Standard Exceeded,* ; blank,"Two manifest datasets per year (hs_reportcard_ca, hs_reportcard_ca_entities). The 2024 and 2025 layouts add District Name, School Name and count columns; student group codes are the CAASPP research-file codes."
