state,st_id,name,leaid,method,ccd_st_leaid,ccd_name,ccd_sy_end,author_check
AL,001,Autauga County,0100240,st_leaid,001,Autauga County,2024,
AL,002,Baldwin County,0100270,st_leaid,002,Baldwin County,2024,
AL,003,Barbour County,0100300,st_leaid,003,Barbour County,2024,
AL,004,Bibb County,0100360,st_leaid,004,Bibb County,2024,
AL,005,Blount County,0100420,st_leaid,005,Blount County,2024,
AL,006,Bullock County,0100480,st_leaid,006,Bullock County,2024,
AL,007,Butler County,0100510,st_leaid,007,Butler County,2024,
AL,008,Calhoun County,0100540,st_leaid,008,Calhoun County,2024,
AL,009,Chambers County,0100600,st_leaid,009,Chambers County,2024,
AL,010,Cherokee County,0100630,st_leaid,010,Cherokee County,2024,
AL,011,Chilton County,0100660,st_leaid,011,Chilton County,2024,
AL,012,Choctaw County,0100690,st_leaid,012,Choctaw County,2024,
AL,013,Clarke County,0100720,st_leaid,013,Clarke County,2024,
AL,014,Clay County,0100750,st_leaid,014,Clay County,2024,
AL,015,Cleburne County,0100780,st_leaid,015,Cleburne County,2024,
AL,016,Coffee County,0100810,st_leaid,016,Coffee County,2024,
AL,017,Colbert County,0100840,st_leaid,017,Colbert County,2024,
AL,018,Conecuh County,0100870,st_leaid,018,Conecuh County,2024,
AL,019,Coosa County,0100900,st_leaid,019,Coosa County,2024,
AL,020,Covington County,0100930,st_leaid,020,Covington County,2024,
AL,021,Crenshaw County,0100960,st_leaid,021,Crenshaw County,2024,
AL,022,Cullman County,0101020,st_leaid,022,Cullman County,2024,
AL,023,Dale County,0101050,st_leaid,023,Dale County,2024,
AL,024,Dallas County,0101110,st_leaid,024,Dallas County,2024,
AL,025,DeKalb County,0101140,st_leaid,025,DeKalb County,2024,
AL,026,Elmore County,0101290,st_leaid,026,Elmore County,2024,
AL,027,Escambia County,0101350,st_leaid,027,Escambia County,2024,
AL,028,Etowah County,0101380,st_leaid,028,Etowah County,2024,
AL,029,Fayette County,0101470,st_leaid,029,Fayette County,2024,
AL,030,Franklin County,0101590,st_leaid,030,Franklin County,2024,
AL,031,Geneva County,0101660,st_leaid,031,Geneva County,2024,
AL,032,Greene County,0101680,st_leaid,032,Greene County,2024,
AL,033,Hale County,0101710,st_leaid,033,Hale County,2024,
AL,034,Henry County,0101740,st_leaid,034,Henry County,2024,
AL,035,Houston County,0101770,st_leaid,035,Houston County,2024,
AL,036,Jackson County,0101830,st_leaid,036,Jackson County,2024,
AL,037,Jefferson County,0101920,st_leaid,037,Jefferson County,2024,
AL,038,Lamar County,0101950,st_leaid,038,Lamar County,2024,
AL,039,Lauderdale County,0102010,st_leaid,039,Lauderdale County,2024,
AL,040,Lawrence County,0102040,st_leaid,040,Lawrence County,2024,
AL,041,Lee County,0102070,st_leaid,041,Lee County,2024,
AL,042,Limestone County,0102100,st_leaid,042,Limestone County,2024,
AL,043,Lowndes County,0102160,st_leaid,043,Lowndes County,2024,
AL,044,Macon County,0102190,st_leaid,044,Macon County,2024,
AL,045,Madison County,0102220,st_leaid,045,Madison County,2024,
AL,046,Marengo County,0102250,st_leaid,046,Marengo County,2024,
