state,school_year,sy_end,page_url,file_url_or_steps,file_format,statewide_file,district_level,black_rows,hispanic_rows,white_rows,subgroup_evidence,proficiency_label,proficient_levels,suppression,hs_test_math,hs_test_rla,hs_grade,test_replacement_2022_2025,replacement_source,usable,notes
AK,2021-22,2022,https://education.alaska.gov/assessment-results/Home/Result?schoolYear=2021-2022,No statewide AK STAR file. Per district: Districtwide > choose district > 'Download Four-Way Supressed Data (.csv)' = https://education.alaska.gov/assessment-results/District/DownloadCSV?districtId=<id>&districtName=<name>&schoolYear=2021-2022&isScience=False (about 54 districts). Statewide xlsx files on the page are the DLM alternate assessment only,CSV per district; HTML subgroup tables,no,yes (one file per district),yes (HTML subgroup table 'African American'),yes ('Hispanic'),yes ('Caucasian'),"DistrictSubGroup HTML page (Anchorage, 2024-25, grade 9 math) lists African American, Hispanic, Caucasian rows; four-way CSV not opened; CSV link confirmed on 2021-22 and 2024-25 district pages",Advanced / Proficient vs Approaching Proficient / Needs Support,Advanced + Proficient,"No results if fewer than 5 tested; if either proficiency group has 0-2 students, counts removed and percentages shown as ranges; '*' where results would release PII",AK STAR Mathematics grade 9,AK STAR ELA grade 9,9 (AK STAR grades 3-9),"2022: AK STAR first administered, replacing PEAKS (grades 3-9)",https://education.alaska.gov/assessments/akstar ; https://content.govdelivery.com/accounts/AKDEED/bulletins/397010c ; https://statetestscoreresults.substack.com/p/alaska-2025-assessment-results,no statewide file (per-district CSVs could be assembled),High school measure is grade 9 only. DEED results pages reject requests without a browser user agent.
AK,2022-23,2023,https://education.alaska.gov/assessment-results/Home/Result?schoolYear=2022-2023,No statewide AK STAR file. Per district: Districtwide > choose district > 'Download Four-Way Supressed Data (.csv)' = https://education.alaska.gov/assessment-results/District/DownloadCSV?districtId=<id>&districtName=<name>&schoolYear=2022-2023&isScience=False (about 54 districts). Statewide xlsx files on the page are the DLM alternate assessment only,CSV per district; HTML subgroup tables,no,yes (one file per district),yes (HTML subgroup table 'African American'),yes ('Hispanic'),yes ('Caucasian'),"DistrictSubGroup HTML page (Anchorage, 2024-25, grade 9 math) lists African American, Hispanic, Caucasian rows; four-way CSV not opened; CSV link confirmed on 2021-22 and 2024-25 district pages",Advanced / Proficient vs Approaching Proficient / Needs Support,Advanced + Proficient,"No results if fewer than 5 tested; if either proficiency group has 0-2 students, counts removed and percentages shown as ranges; '*' where results would release PII",AK STAR Mathematics grade 9,AK STAR ELA grade 9,9 (AK STAR grades 3-9),"2023: cut scores reviewed and updated (validation study and policy review); same test, not a replacement under the test_replacement.csv rule",https://education.alaska.gov/assessments/akstar ; https://content.govdelivery.com/accounts/AKDEED/bulletins/397010c ; https://statetestscoreresults.substack.com/p/alaska-2025-assessment-results,no statewide file (per-district CSVs could be assembled),High school measure is grade 9 only. DEED results pages reject requests without a browser user agent.
AK,2023-24,2024,https://education.alaska.gov/assessment-results/Home/Result?schoolYear=2023-2024,No statewide AK STAR file. Per district: Districtwide > choose district > 'Download Four-Way Supressed Data (.csv)' = https://education.alaska.gov/assessment-results/District/DownloadCSV?districtId=<id>&districtName=<name>&schoolYear=2023-2024&isScience=False (about 54 districts). Statewide xlsx files on the page are the DLM alternate assessment only,CSV per district; HTML subgroup tables,no,yes (one file per district),yes (HTML subgroup table 'African American'),yes ('Hispanic'),yes ('Caucasian'),"DistrictSubGroup HTML page (Anchorage, 2024-25, grade 9 math) lists African American, Hispanic, Caucasian rows; four-way CSV not opened; CSV link confirmed on 2021-22 and 2024-25 district pages",Advanced / Proficient vs Approaching Proficient / Needs Support,Advanced + Proficient,"No results if fewer than 5 tested; if either proficiency group has 0-2 students, counts removed and percentages shown as ranges; '*' where results would release PII",AK STAR Mathematics grade 9,AK STAR ELA grade 9,9 (AK STAR grades 3-9),none,https://education.alaska.gov/assessments/akstar ; https://content.govdelivery.com/accounts/AKDEED/bulletins/397010c ; https://statetestscoreresults.substack.com/p/alaska-2025-assessment-results,no statewide file (per-district CSVs could be assembled),High school measure is grade 9 only. DEED results pages reject requests without a browser user agent.
AK,2024-25,2025,https://education.alaska.gov/assessment-results/Home/Result?schoolYear=2024-2025,No statewide AK STAR file. Per district: Districtwide > choose district > 'Download Four-Way Supressed Data (.csv)' = https://education.alaska.gov/assessment-results/District/DownloadCSV?districtId=<id>&districtName=<name>&schoolYear=2024-2025&isScience=False (about 54 districts). Statewide xlsx files on the page are the DLM alternate assessment only,CSV per district; HTML subgroup tables,no,yes (one file per district),yes (HTML subgroup table 'African American'),yes ('Hispanic'),yes ('Caucasian'),"DistrictSubGroup HTML page (Anchorage, 2024-25, grade 9 math) lists African American, Hispanic, Caucasian rows; four-way CSV not opened; CSV link confirmed on 2021-22 and 2024-25 district pages",Advanced / Proficient vs Approaching Proficient / Needs Support,Advanced + Proficient,"No results if fewer than 5 tested; if either proficiency group has 0-2 students, counts removed and percentages shown as ranges; '*' where results would release PII",AK STAR Mathematics grade 9,AK STAR ELA grade 9,9 (AK STAR grades 3-9),none,https://education.alaska.gov/assessments/akstar ; https://content.govdelivery.com/accounts/AKDEED/bulletins/397010c ; https://statetestscoreresults.substack.com/p/alaska-2025-assessment-results,no statewide file (per-district CSVs could be assembled),High school measure is grade 9 only. DEED results pages reject requests without a browser user agent.
AL,2021-22,2022,https://reportcard.alsde.edu/SupportingData_Proficiency.aspx,Federal Report Card > Student Participation & Proficiency: Reporting Year 2021-2022 > Export to CSV (grid covers every system and school; filter Grade and Race/Ethnicity after export). Also on https://www.alabamaachieves.org/reports-data/school-performance/ (Proficiency section): ELA https://www.alabamaachieves.org/wp-content/uploads/2023/07/2021-2022-ELA-Assessment.xlsb ; Math https://www.alabamaachieves.org/wp-content/uploads/2023/03/RD_2023331_2021-2022-Math-Assessment_V1.0.xlsb (contents not opened),CSV export (report card); XLSB/XLSX (alabamaachieves files),yes,yes (System rows),expected,expected,expected,"Export grid columns seen on page: Year, System, School, Subject, Grade, Gender, Race, Ethnicity, Sub Population, Enrolled, Tested, Proficient, Participation Rate, Proficient Rate, Level 1-4 counts and %. Category values in Race/Ethnicity not viewed",Level 1-4; Proficient Rate column,Level 3 or 4 (ALSDE Proficiency Levels Tables 2024-25: 'Proficiency is scoring in Level 3 or 4' for ACT with Writing),"'*' = number of students <= 10, or total minus subgroup <= 10; '~' = percentage >= 95% or <= 5% (page legend)",ACT with Writing (Math),ACT with Writing (English Language Arts),11 (ACAP Summative is grades 2-8; grade 11 rows in export not verified),none found: ACT with Writing is the HS accountability test since 2017-18; ALSDE was considering a WorkKeys alternative in Sept 2025 (after the window),https://www.alabamaachieves.org/assessment/ (ACT with Writing section); https://alabamareflector.com/2025/09/19/alsde-proposes-changes-to-standardized-testing-for-high-school-students/,yes,"Grid shows 3,156,312 rows across years; year must be chosen before export. Confirm Grade=11 rows and Race values in one export."
AL,2022-23,2023,https://reportcard.alsde.edu/SupportingData_Proficiency.aspx,Federal Report Card > Student Participation & Proficiency: Reporting Year 2022-2023 > Export to CSV (grid covers every system and school; filter Grade and Race/Ethnicity after export). Also on https://www.alabamaachieves.org/reports-data/school-performance/ (Proficiency section): ELA https://www.alabamaachieves.org/wp-content/uploads/2023/03/RD_SP_2023731_2022-2023-ELA-Participation-and-Proficiency_V1.0.xlsb ; Math https://www.alabamaachieves.org/wp-content/uploads/2023/08/RD_SP_2023731_2022-2023-MATH-Participation-and-Proficiency_V1.0.xlsb (contents not opened),CSV export (report card); XLSB/XLSX (alabamaachieves files),yes,yes (System rows),expected,expected,expected,"Export grid columns seen on page: Year, System, School, Subject, Grade, Gender, Race, Ethnicity, Sub Population, Enrolled, Tested, Proficient, Participation Rate, Proficient Rate, Level 1-4 counts and %. Category values in Race/Ethnicity not viewed",Level 1-4; Proficient Rate column,Level 3 or 4 (ALSDE Proficiency Levels Tables 2024-25: 'Proficiency is scoring in Level 3 or 4' for ACT with Writing),"'*' = number of students <= 10, or total minus subgroup <= 10; '~' = percentage >= 95% or <= 5% (page legend)",ACT with Writing (Math),ACT with Writing (English Language Arts),11 (ACAP Summative is grades 2-8; grade 11 rows in export not verified),none found: ACT with Writing is the HS accountability test since 2017-18; ALSDE was considering a WorkKeys alternative in Sept 2025 (after the window),https://www.alabamaachieves.org/assessment/ (ACT with Writing section); https://alabamareflector.com/2025/09/19/alsde-proposes-changes-to-standardized-testing-for-high-school-students/,yes,"Grid shows 3,156,312 rows across years; year must be chosen before export. Confirm Grade=11 rows and Race values in one export."
AL,2023-24,2024,https://reportcard.alsde.edu/SupportingData_Proficiency.aspx,Federal Report Card > Student Participation & Proficiency: Reporting Year 2023-2024 > Export to CSV (grid covers every system and school; filter Grade and Race/Ethnicity after export). Also on https://www.alabamaachieves.org/reports-data/school-performance/ (Proficiency section): ELA https://www.alabamaachieves.org/wp-content/uploads/2024/08/RD_SP_202488_2023-2024-Participation-and-Proficiency-ELA_v1.0.xlsb ; Math https://www.alabamaachieves.org/wp-content/uploads/2024/08/RD_SP_202488_2023-2024-Participation-and-Proficiency-Math_v1.0.xlsb (contents not opened),CSV export (report card); XLSB/XLSX (alabamaachieves files),yes,yes (System rows),expected,expected,expected,"Export grid columns seen on page: Year, System, School, Subject, Grade, Gender, Race, Ethnicity, Sub Population, Enrolled, Tested, Proficient, Participation Rate, Proficient Rate, Level 1-4 counts and %. Category values in Race/Ethnicity not viewed",Level 1-4; Proficient Rate column,Level 3 or 4 (ALSDE Proficiency Levels Tables 2024-25: 'Proficiency is scoring in Level 3 or 4' for ACT with Writing),"'*' = number of students <= 10, or total minus subgroup <= 10; '~' = percentage >= 95% or <= 5% (page legend)",ACT with Writing (Math),ACT with Writing (English Language Arts),11 (ACAP Summative is grades 2-8; grade 11 rows in export not verified),none found: ACT with Writing is the HS accountability test since 2017-18; ALSDE was considering a WorkKeys alternative in Sept 2025 (after the window),https://www.alabamaachieves.org/assessment/ (ACT with Writing section); https://alabamareflector.com/2025/09/19/alsde-proposes-changes-to-standardized-testing-for-high-school-students/,yes,"Grid shows 3,156,312 rows across years; year must be chosen before export. Confirm Grade=11 rows and Race values in one export."
AL,2024-25,2025,https://reportcard.alsde.edu/SupportingData_Proficiency.aspx,Federal Report Card > Student Participation & Proficiency: Reporting Year 2024-2025 > Export to CSV (grid covers every system and school; filter Grade and Race/Ethnicity after export). Also on https://www.alabamaachieves.org/reports-data/school-performance/ (Proficiency section): ELA https://www.alabamaachieves.org/wp-content/uploads/2025/08/RD_SP_2025813_2024-2025ParticipationandProficiencyELA_v1.xlsx ; Math https://www.alabamaachieves.org/wp-content/uploads/2025/08/RD_SP_2025813_2024-2025ParticipationandProficiencyMath_v1.xlsx (contents not opened),CSV export (report card); XLSB/XLSX (alabamaachieves files),yes,yes (System rows),expected,expected,expected,"Export grid columns seen on page: Year, System, School, Subject, Grade, Gender, Race, Ethnicity, Sub Population, Enrolled, Tested, Proficient, Participation Rate, Proficient Rate, Level 1-4 counts and %. Category values in Race/Ethnicity not viewed",Level 1-4; Proficient Rate column,Level 3 or 4 (ALSDE Proficiency Levels Tables 2024-25: 'Proficiency is scoring in Level 3 or 4' for ACT with Writing),"'*' = number of students <= 10, or total minus subgroup <= 10; '~' = percentage >= 95% or <= 5% (page legend)",ACT with Writing (Math),ACT with Writing (English Language Arts),11 (ACAP Summative is grades 2-8; grade 11 rows in export not verified),none found: ACT with Writing is the HS accountability test since 2017-18; ALSDE was considering a WorkKeys alternative in Sept 2025 (after the window),https://www.alabamaachieves.org/assessment/ (ACT with Writing section); https://alabamareflector.com/2025/09/19/alsde-proposes-changes-to-standardized-testing-for-high-school-students/,yes,"Grid shows 3,156,312 rows across years; year must be chosen before export. Confirm Grade=11 rows and Race values in one export."
AR,2021-22,2022,https://dese.ade.arkansas.gov/Offices/public-school-accountability/assessment-test-scores/2022,"Summary post-appeals: https://dese.ade.arkansas.gov/Files/2021-2022_ACT_Aspire_Summary_Post_Appeals_Scores_LS.xlsx ; 'Reporting Categories, Avg Scale Scores, and Demographics': https://dese.ade.arkansas.gov/Files/2021-2022_ACT_Aspire_Preliminary_Scores_Added_Sheets_LS.xlsx",XLSX,yes (all-students summaries),yes (district and school summaries),"possible (2021-22 'Demographics' sheet, not opened)",possible,possible,File titles and page text describe district/school score summaries by grade (plus 'No Grade' and COOP/County versions); no race/ethnicity file listed except the 2021-22 added-sheets title. Subgroups appear on My School Info report cards (per district) or by data request form,In Need of Support / Close / Ready / Exceeding,Ready + Exceeding,'N<10' = 10 or fewer students tested (page note),ACT Aspire,ACT Aspire,ACT Aspire grades 9-10,none,"https://dese.ade.arkansas.gov/Offices/public-school-accountability/assessment/atlas-assessment-overview ('Beginning in the Spring of 2024, ... ATLAS will serve as the statewide student assessment system'); https://oep.uark.edu/how-are-arkansas-students-doing-2025-atlas-results-are-in/",unclear (open the Demographics sheet to check),"Grade 11 ACT district summaries are also posted but ACT is not the ESSA test. U of A Office for Education Policy reposts district files (oep.uark.edu), all students."
AR,2022-23,2023,https://dese.ade.arkansas.gov/Offices/public-school-accountability/assessment-test-scores/2023,Post-corrections summary: https://dese.ade.arkansas.gov/Files/ACT_Aspire_Post-Corrections_Summary_10102023_PSA.xlsx,XLSX,yes (all-students summaries),yes (district and school summaries),not found,not found,not found,File titles and page text describe district/school score summaries by grade (plus 'No Grade' and COOP/County versions); no race/ethnicity file listed except the 2021-22 added-sheets title. Subgroups appear on My School Info report cards (per district) or by data request form,In Need of Support / Close / Ready / Exceeding,Ready + Exceeding,'N<10' = 10 or fewer students tested (page note),ACT Aspire,ACT Aspire,ACT Aspire grades 9-10,none,"https://dese.ade.arkansas.gov/Offices/public-school-accountability/assessment/atlas-assessment-overview ('Beginning in the Spring of 2024, ... ATLAS will serve as the statewide student assessment system'); https://oep.uark.edu/how-are-arkansas-students-doing-2025-atlas-results-are-in/",no subgroup file found,"Grade 11 ACT district summaries are also posted but ACT is not the ESSA test. U of A Office for Education Policy reposts district files (oep.uark.edu), all students."
