state,school_year,sy_end,page_url,file_url_or_steps,file_format,statewide_file,district_level,black_rows,hispanic_rows,white_rows,subgroup_evidence,proficiency_label,proficient_levels,suppression,hs_test_math,hs_test_rla,hs_grade,test_replacement_2022_2025,replacement_source,usable,notes
MT,2021-22,2022,https://gems.opi.mt.gov/student-data,"No statewide downloadable file found. GEMS dashboard 'Math, ELA, and Science Assessments (High School)' (Power BI; guide https://gems.opi.mt.gov/uploads/attachments/cl8t4u98xhv83tebif4i0v8t0-actassessmenttutorial.pdf) filters by year, school location and Race/Ethnicity; no export described. OPI Data and Research page lists only GEMS, secure access and a data request form (https://montanaopi.sjc1.qualtrics.com/jfe/form/SV_aYkwxgOELWUOAaG)",Power BI dashboard (no file),no,yes (dashboard school location filter),dashboard filter only,dashboard filter only,dashboard filter only,"GEMS ACT tutorial: slicer menu 'filter by Race/Ethnicity, gender, SES, SPED, EL description, homeless status, and migrant status'",Novice / Nearing Proficient / Proficient / Advanced,Proficient + Advanced,"Dashboard: when race/ethnicity or other student-group slicers are selected, 'the data will be masked at counts of 10 or less' (GEMS ACT tutorial); OPI does not disclose groups of 5 or fewer",ACT Mathematics (ACT junior test),ACT English Language Arts (ACT with Writing),11,"none (ACT the grade 11 state test since 2015-16; MAST replaced Smarter Balanced in grades 3-8 only, 2024-25)",https://archive.legmt.gov/content/Committees/Interim/2025-2026/EDIC/Nov-2026/OPI-assessment-overview.pdf ('Highest level of ELA proficiency since ACT statewide use in 2015-16'; grade 11 rates 'Include both ACT and MSAA') ; https://news.mt.gov/Office-of-Public-Instruction/Superintendent-Arntzen-Releases-2023-2024-Student-Assessment-Scores-for-Math-and-Reading ; https://content.govdelivery.com/accounts/MTOPI/bulletins/3ea6b2f,no statewide file found,Grade 11 proficiency series in the OPI overview pools ACT and the MSAA alternate. Data request form is the route to district-by-race HS rates.
MT,2022-23,2023,https://gems.opi.mt.gov/student-data,"No statewide downloadable file found. GEMS dashboard 'Math, ELA, and Science Assessments (High School)' (Power BI; guide https://gems.opi.mt.gov/uploads/attachments/cl8t4u98xhv83tebif4i0v8t0-actassessmenttutorial.pdf) filters by year, school location and Race/Ethnicity; no export described. OPI Data and Research page lists only GEMS, secure access and a data request form (https://montanaopi.sjc1.qualtrics.com/jfe/form/SV_aYkwxgOELWUOAaG)",Power BI dashboard (no file),no,yes (dashboard school location filter),dashboard filter only,dashboard filter only,dashboard filter only,"GEMS ACT tutorial: slicer menu 'filter by Race/Ethnicity, gender, SES, SPED, EL description, homeless status, and migrant status'",Novice / Nearing Proficient / Proficient / Advanced,Proficient + Advanced,"Dashboard: when race/ethnicity or other student-group slicers are selected, 'the data will be masked at counts of 10 or less' (GEMS ACT tutorial); OPI does not disclose groups of 5 or fewer",ACT Mathematics (ACT junior test),ACT English Language Arts (ACT with Writing),11,"none (ACT the grade 11 state test since 2015-16; MAST replaced Smarter Balanced in grades 3-8 only, 2024-25)",https://archive.legmt.gov/content/Committees/Interim/2025-2026/EDIC/Nov-2026/OPI-assessment-overview.pdf ('Highest level of ELA proficiency since ACT statewide use in 2015-16'; grade 11 rates 'Include both ACT and MSAA') ; https://news.mt.gov/Office-of-Public-Instruction/Superintendent-Arntzen-Releases-2023-2024-Student-Assessment-Scores-for-Math-and-Reading ; https://content.govdelivery.com/accounts/MTOPI/bulletins/3ea6b2f,no statewide file found,Grade 11 proficiency series in the OPI overview pools ACT and the MSAA alternate. Data request form is the route to district-by-race HS rates.
MT,2023-24,2024,https://gems.opi.mt.gov/student-data,"No statewide downloadable file found. GEMS dashboard 'Math, ELA, and Science Assessments (High School)' (Power BI; guide https://gems.opi.mt.gov/uploads/attachments/cl8t4u98xhv83tebif4i0v8t0-actassessmenttutorial.pdf) filters by year, school location and Race/Ethnicity; no export described. OPI Data and Research page lists only GEMS, secure access and a data request form (https://montanaopi.sjc1.qualtrics.com/jfe/form/SV_aYkwxgOELWUOAaG)",Power BI dashboard (no file),no,yes (dashboard school location filter),dashboard filter only,dashboard filter only,dashboard filter only,"GEMS ACT tutorial: slicer menu 'filter by Race/Ethnicity, gender, SES, SPED, EL description, homeless status, and migrant status'",Novice / Nearing Proficient / Proficient / Advanced,Proficient + Advanced,"Dashboard: when race/ethnicity or other student-group slicers are selected, 'the data will be masked at counts of 10 or less' (GEMS ACT tutorial); OPI does not disclose groups of 5 or fewer",ACT Mathematics (ACT junior test),ACT English Language Arts (ACT with Writing),11,"none (ACT the grade 11 state test since 2015-16; MAST replaced Smarter Balanced in grades 3-8 only, 2024-25)",https://archive.legmt.gov/content/Committees/Interim/2025-2026/EDIC/Nov-2026/OPI-assessment-overview.pdf ('Highest level of ELA proficiency since ACT statewide use in 2015-16'; grade 11 rates 'Include both ACT and MSAA') ; https://news.mt.gov/Office-of-Public-Instruction/Superintendent-Arntzen-Releases-2023-2024-Student-Assessment-Scores-for-Math-and-Reading ; https://content.govdelivery.com/accounts/MTOPI/bulletins/3ea6b2f,no statewide file found,Grade 11 proficiency series in the OPI overview pools ACT and the MSAA alternate. Data request form is the route to district-by-race HS rates.
MT,2024-25,2025,https://gems.opi.mt.gov/student-data,"No statewide downloadable file found. GEMS dashboard 'Math, ELA, and Science Assessments (High School)' (Power BI; guide https://gems.opi.mt.gov/uploads/attachments/cl8t4u98xhv83tebif4i0v8t0-actassessmenttutorial.pdf) filters by year, school location and Race/Ethnicity; no export described. OPI Data and Research page lists only GEMS, secure access and a data request form (https://montanaopi.sjc1.qualtrics.com/jfe/form/SV_aYkwxgOELWUOAaG)",Power BI dashboard (no file),no,yes (dashboard school location filter),dashboard filter only,dashboard filter only,dashboard filter only,"GEMS ACT tutorial: slicer menu 'filter by Race/Ethnicity, gender, SES, SPED, EL description, homeless status, and migrant status'",Novice / Nearing Proficient / Proficient / Advanced,Proficient + Advanced,"Dashboard: when race/ethnicity or other student-group slicers are selected, 'the data will be masked at counts of 10 or less' (GEMS ACT tutorial); OPI does not disclose groups of 5 or fewer",ACT Mathematics (ACT junior test),ACT English Language Arts (ACT with Writing),11,"none found at state level; 2025: ACT moved to the enhanced ACT (shorter, online first; same 1-36 scale), not confirmed on an SEA page",https://archive.legmt.gov/content/Committees/Interim/2025-2026/EDIC/Nov-2026/OPI-assessment-overview.pdf ('Highest level of ELA proficiency since ACT statewide use in 2015-16'; grade 11 rates 'Include both ACT and MSAA') ; https://news.mt.gov/Office-of-Public-Instruction/Superintendent-Arntzen-Releases-2023-2024-Student-Assessment-Scores-for-Math-and-Reading ; https://content.govdelivery.com/accounts/MTOPI/bulletins/3ea6b2f,no statewide file found,Grade 11 proficiency series in the OPI overview pools ACT and the MSAA alternate. Data request form is the route to district-by-race HS rates.
NE,2021-22,2022,https://nep.education.ne.gov/#/data-downloads,"NEP > Data Downloads > 'Download File Description (2021-2022)' > 'ACT Assessments Data All Subjects' (ACT_AllSubjects_20212022.csv, ~4,667 KB, modified 5/14/23)",CSV,yes,"expected (NEP data covers state, districts and schools)",unverified,unverified,unverified,"Not seen. ACT 'All Subjects' files are 4.7-19.8 MB against 42-43 KB for the state composite file, which suggests entity x subject x student-group rows; NEP profiles report by student group, but the ACT file layout was not found. File not opened","ACT state performance levels: Developing / On Track / ACT Benchmark (NDE Summative Assessment Administration and Reporting Plan, Dec 2025)",On Track + ACT Benchmark ('identified as meeting expectations'),NDE masks cells with fewer than 10 individuals or 100% of individuals (NDE Data Access and Use Policy); NEP: 'This website masks or hides some student data',ACT Mathematics,"ACT English Language Arts (Reading, English, Writing)",11 (third-year high school cohort),none (ACT the HS state test since 2017-18; the 2023 NSCAS ELA/math redesign and 2024 cut scores are grades 3-8),https://www.nebraskalegislature.gov/FloorDocs/109/PDF/Agencies/Education__Department_of/167_20251205-112832.pdf ; https://nebraskapublicmedia.org/en/news/news-articles/nebraska-turns-to-college-assessment-exams-to-measure-high-school-academics/ ; https://esu10.org/news/latest-news/2025/nebraska-assessment-and-accountability-update ; https://www.education.ne.gov/wp-content/uploads/2017/07/Nebraska_Data_Access_and_Use_Policy_and_Procedures.pdf,probable (open one ACT All Subjects file to confirm district x race rows and levels),Download buttons call the NEP API (https://nepdata.education.ne.gov/api/v1/data/downloads/data-file with dataYear and fileName); no static file URL. NSCAS_ELA/Math_Proficient files cover grades 3-8 only. File name for this year inferred from the 2024 and 2025 pattern (API listing read for 2024-2025 and 2023-2024; the page shows the display name and size).
NE,2022-23,2023,https://nep.education.ne.gov/#/data-downloads,"NEP > Data Downloads > 'Download File Description (2022-2023)' > 'ACT Assessments Data All Subjects' (ACT_AllSubjects_20222023.csv, ~4,673 KB, modified 11/21/23)",CSV,yes,"expected (NEP data covers state, districts and schools)",unverified,unverified,unverified,"Not seen. ACT 'All Subjects' files are 4.7-19.8 MB against 42-43 KB for the state composite file, which suggests entity x subject x student-group rows; NEP profiles report by student group, but the ACT file layout was not found. File not opened","ACT state performance levels: Developing / On Track / ACT Benchmark (NDE Summative Assessment Administration and Reporting Plan, Dec 2025)",On Track + ACT Benchmark ('identified as meeting expectations'),NDE masks cells with fewer than 10 individuals or 100% of individuals (NDE Data Access and Use Policy); NEP: 'This website masks or hides some student data',ACT Mathematics,"ACT English Language Arts (Reading, English, Writing)",11 (third-year high school cohort),none (ACT the HS state test since 2017-18; the 2023 NSCAS ELA/math redesign and 2024 cut scores are grades 3-8),https://www.nebraskalegislature.gov/FloorDocs/109/PDF/Agencies/Education__Department_of/167_20251205-112832.pdf ; https://nebraskapublicmedia.org/en/news/news-articles/nebraska-turns-to-college-assessment-exams-to-measure-high-school-academics/ ; https://esu10.org/news/latest-news/2025/nebraska-assessment-and-accountability-update ; https://www.education.ne.gov/wp-content/uploads/2017/07/Nebraska_Data_Access_and_Use_Policy_and_Procedures.pdf,probable (open one ACT All Subjects file to confirm district x race rows and levels),Download buttons call the NEP API (https://nepdata.education.ne.gov/api/v1/data/downloads/data-file with dataYear and fileName); no static file URL. NSCAS_ELA/Math_Proficient files cover grades 3-8 only. File name for this year inferred from the 2024 and 2025 pattern (API listing read for 2024-2025 and 2023-2024; the page shows the display name and size).
NE,2023-24,2024,https://nep.education.ne.gov/#/data-downloads,"NEP > Data Downloads > 'Download File Description (2023-2024)' > 'ACT Assessments Data All Subjects' (ACT_AllSubjects_20232024.csv, ~14,608 KB, modified 8/7/25)",CSV,yes,"expected (NEP data covers state, districts and schools)",unverified,unverified,unverified,"Not seen. ACT 'All Subjects' files are 4.7-19.8 MB against 42-43 KB for the state composite file, which suggests entity x subject x student-group rows; NEP profiles report by student group, but the ACT file layout was not found. File not opened","ACT state performance levels: Developing / On Track / ACT Benchmark (NDE Summative Assessment Administration and Reporting Plan, Dec 2025)",On Track + ACT Benchmark ('identified as meeting expectations'),NDE masks cells with fewer than 10 individuals or 100% of individuals (NDE Data Access and Use Policy); NEP: 'This website masks or hides some student data',ACT Mathematics,"ACT English Language Arts (Reading, English, Writing)",11 (third-year high school cohort),none (ACT the HS state test since 2017-18; the 2023 NSCAS ELA/math redesign and 2024 cut scores are grades 3-8),https://www.nebraskalegislature.gov/FloorDocs/109/PDF/Agencies/Education__Department_of/167_20251205-112832.pdf ; https://nebraskapublicmedia.org/en/news/news-articles/nebraska-turns-to-college-assessment-exams-to-measure-high-school-academics/ ; https://esu10.org/news/latest-news/2025/nebraska-assessment-and-accountability-update ; https://www.education.ne.gov/wp-content/uploads/2017/07/Nebraska_Data_Access_and_Use_Policy_and_Procedures.pdf,probable (open one ACT All Subjects file to confirm district x race rows and levels),Download buttons call the NEP API (https://nepdata.education.ne.gov/api/v1/data/downloads/data-file with dataYear and fileName); no static file URL. NSCAS_ELA/Math_Proficient files cover grades 3-8 only.
NE,2024-25,2025,https://nep.education.ne.gov/#/data-downloads,"NEP > Data Downloads > 'Download File Description (2024-2025)' > 'ACT Assessments Data All Subjects' (ACT_AllSubjects_20242025.csv, ~19,792 KB, modified 12/12/25)",CSV,yes,"expected (NEP data covers state, districts and schools)",unverified,unverified,unverified,"Not seen. ACT 'All Subjects' files are 4.7-19.8 MB against 42-43 KB for the state composite file, which suggests entity x subject x student-group rows; NEP profiles report by student group, but the ACT file layout was not found. File not opened","ACT state performance levels: Developing / On Track / ACT Benchmark (NDE Summative Assessment Administration and Reporting Plan, Dec 2025)",On Track + ACT Benchmark ('identified as meeting expectations'),NDE masks cells with fewer than 10 individuals or 100% of individuals (NDE Data Access and Use Policy); NEP: 'This website masks or hides some student data',ACT Mathematics,"ACT English Language Arts (Reading, English, Writing)",11 (third-year high school cohort),"none found at state level; 2025: ACT moved to the enhanced ACT (shorter, online first; same 1-36 scale), not confirmed on an SEA page",https://www.nebraskalegislature.gov/FloorDocs/109/PDF/Agencies/Education__Department_of/167_20251205-112832.pdf ; https://nebraskapublicmedia.org/en/news/news-articles/nebraska-turns-to-college-assessment-exams-to-measure-high-school-academics/ ; https://esu10.org/news/latest-news/2025/nebraska-assessment-and-accountability-update ; https://www.education.ne.gov/wp-content/uploads/2017/07/Nebraska_Data_Access_and_Use_Policy_and_Procedures.pdf,probable (open one ACT All Subjects file to confirm district x race rows and levels),Download buttons call the NEP API (https://nepdata.education.ne.gov/api/v1/data/downloads/data-file with dataYear and fileName); no static file URL. NSCAS_ELA/Math_Proficient files cover grades 3-8 only.
NV,2021-22,2022,https://nevadareportcard.nv.gov/di/main/assessment,No pre-built statewide file. Data Interaction > Assessment > 'Group Summary Report' > Exam 'CCR (Grade 11 High School ELA/Math)' > Year > move all districts (or schools) to Selected > Get Report > Disaggregate 'Race/Ethnicity' > Update > Download (CSV),CSV export from report tool,no (export can include every district in one report),yes,yes (Race/Ethnicity disaggregation),yes (Race/Ethnicity disaggregation),yes (Race/Ethnicity disaggregation),"Report tool 'Disaggregate' menu: Gender, Race/Ethnicity, IEP, EL, FRL, Migrant, Grade, Homeless, Foster, Military Connected ...; portal help guide names the 7 race/ethnicity groups incl. Black/African American, Hispanic/Latino, White. 2024-25 state report viewed; export not run","Performance levels ED / AS / MS / ES (Emergent-Developing, Approaches Standard, Meets Standard, Exceeds Standard) with '% Proficient'","MS + ES (state 2024-25 math: % proficient 21.0; levels ED 31.8, AS 47.0, MS 14.0, ES 7.0)",Groups fewer than 10 not presented ('-'); percentages below 5 and above 95 shown as '<5' / '>95' (seen on the state report),Nevada CCR (College and Career Readiness) Mathematics assessment,Nevada CCR ELA assessment,11,none found (portal lists CCR grade 11 ELA/math for 2017-18 through 2025-26),https://nevadareportcard.nv.gov/di/main/assessment (exam and year menus) ; https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/nevada_accountability_portal_help_guide_9f991f9500.pdf,yes via report export (one export per year; confirm district x race cells in the CSV),"The CCR test's vendor and scale were not documented on an NDE page found. EOC (Math I/II, ELA I/II) tests are the pre-2018 HS program."
NV,2022-23,2023,https://nevadareportcard.nv.gov/di/main/assessment,No pre-built statewide file. Data Interaction > Assessment > 'Group Summary Report' > Exam 'CCR (Grade 11 High School ELA/Math)' > Year > move all districts (or schools) to Selected > Get Report > Disaggregate 'Race/Ethnicity' > Update > Download (CSV),CSV export from report tool,no (export can include every district in one report),yes,yes (Race/Ethnicity disaggregation),yes (Race/Ethnicity disaggregation),yes (Race/Ethnicity disaggregation),"Report tool 'Disaggregate' menu: Gender, Race/Ethnicity, IEP, EL, FRL, Migrant, Grade, Homeless, Foster, Military Connected ...; portal help guide names the 7 race/ethnicity groups incl. Black/African American, Hispanic/Latino, White. 2024-25 state report viewed; export not run","Performance levels ED / AS / MS / ES (Emergent-Developing, Approaches Standard, Meets Standard, Exceeds Standard) with '% Proficient'","MS + ES (state 2024-25 math: % proficient 21.0; levels ED 31.8, AS 47.0, MS 14.0, ES 7.0)",Groups fewer than 10 not presented ('-'); percentages below 5 and above 95 shown as '<5' / '>95' (seen on the state report),Nevada CCR (College and Career Readiness) Mathematics assessment,Nevada CCR ELA assessment,11,none found (portal lists CCR grade 11 ELA/math for 2017-18 through 2025-26),https://nevadareportcard.nv.gov/di/main/assessment (exam and year menus) ; https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/nevada_accountability_portal_help_guide_9f991f9500.pdf,yes via report export (one export per year; confirm district x race cells in the CSV),"The CCR test's vendor and scale were not documented on an NDE page found. EOC (Math I/II, ELA I/II) tests are the pre-2018 HS program."
