"outcome","variant","gap","event_set","weighting","panel","ref","missing_event_times","missing_reasons","status_before","event_block","result","mbar_rows_ok"
"achievement","sample_r5","b_black_white","primary","unweighted","unbalanced",-1,"-3 2 3 4","-3: not estimable; 2: not estimable; 3: not estimable; 4: no district-year","event times are not consecutive around the reference period","-2..+1","bound sets on the reduced block",5
"achievement","sample_r5","b_black_white","primary","tested_weighted","unbalanced",-1,"-3 2 3 4","-3: not estimable; 2: not estimable; 3: not estimable; 4: no district-year","event times are not consecutive around the reference period","-2..+1","bound sets on the reduced block",5
"achievement","sample_r5","c_hispanic_white","primary","unweighted","unbalanced",-1,"4","4: not estimable","event times are not consecutive around the reference period","-5..+3","bound sets on the reduced block",5
"achievement","sample_r5","c_hispanic_white","primary","tested_weighted","unbalanced",-1,"2 4","2: not estimable; 4: not estimable","event times are not consecutive around the reference period","-5..+1","bound sets on the reduced block",5
"achievement","sample_r5","b_black_white","r1","unweighted","unbalanced",-1,"2 3 4","2: not estimable; 3: not estimable; 4: no district-year","event times are not consecutive around the reference period","-2..+1","bound sets on the reduced block",5
"achievement","sample_r5","b_black_white","r1","tested_weighted","unbalanced",-1,"2 3 4","2: no district-year; 3: not estimable; 4: no district-year","event times are not consecutive around the reference period","-2..+1","bound sets on the reduced block",5
"achievement","sample_r5","c_hispanic_white","r1","unweighted","unbalanced",-1,"4","4: not estimable","event times are not consecutive around the reference period","-2..+3","bound sets on the reduced block",5
"achievement","sample_r5","c_hispanic_white","r1","tested_weighted","unbalanced",-1,"2 3 4","2: not estimable; 3: not estimable; 4: not estimable","event times are not consecutive around the reference period","-2..+1","bound sets on the reduced block",5
"achievement","sample_exact","a_poverty","primary","unweighted","unbalanced",-1,"4","4: no state-year","event times are not consecutive around the reference period","-5..+3","bound sets on the reduced block",5
"achievement","sample_exact","c_hispanic_white","primary","unweighted","unbalanced",-1,"-3 2","-3: not estimable; 2: no district-year","event times are not consecutive around the reference period","-2..+1","bound sets on the reduced block",5
"achievement","sample_exact","c_hispanic_white","primary","tested_weighted","unbalanced",-1,"-3 -2","-3: not estimable; -2: not estimable","event times are not consecutive around the reference period","-1..+1","status kept: the block has no pre-reform event time beyond the reference period",0
"achievement","sample_exact","a_poverty","r1","unweighted","unbalanced",-1,"4","4: no state-year","event times are not consecutive around the reference period","-2..+3","bound sets on the reduced block",4
"achievement","participation_from_2013","b_black_white","primary","unweighted","unbalanced",-1,"2","2: not estimable","event times are not consecutive around the reference period","-5..+1","bound sets on the reduced block",5
"achievement","participation_from_2013","b_black_white","primary","tested_weighted","unbalanced",-1,"2","2: not estimable","event times are not consecutive around the reference period","-5..+1","bound sets on the reduced block",5
"achievement","participation_from_2013","c_hispanic_white","primary","unweighted","unbalanced",-1,"2","2: not estimable","event times are not consecutive around the reference period","-5..+1","bound sets on the reduced block",5
"achievement","participation_from_2013","c_hispanic_white","primary","tested_weighted","unbalanced",-1,"2","2: not estimable","event times are not consecutive around the reference period","-5..+1","bound sets on the reduced block",5
"achievement","drop_few_pre","b_black_white","primary","unweighted","unbalanced",-1,"2","2: not estimable","event times are not consecutive around the reference period","-5..+1","bound sets on the reduced block",5
"achievement","drop_few_pre","b_black_white","primary","tested_weighted","unbalanced",-1,"2","2: not estimable","event times are not consecutive around the reference period","-5..+1","bound sets on the reduced block",5
"achievement","drop_few_pre","c_hispanic_white","primary","unweighted","unbalanced",-1,"2","2: not estimable","event times are not consecutive around the reference period","-5..+1","bound sets on the reduced block",5
"achievement","drop_few_pre","c_hispanic_white","primary","tested_weighted","unbalanced",-1,"2","2: not estimable","event times are not consecutive around the reference period","-5..+1","bound sets on the reduced block",5
"achievement","anticipation_1","b_black_white","primary","unweighted","unbalanced",-2,"4","4: not estimable","event times are not consecutive around the reference period","-5..+3","bound sets on the reduced block",5
"achievement","anticipation_1","b_black_white","primary","tested_weighted","unbalanced",-2,"2 4","2: not estimable; 4: no district-year","event times are not consecutive around the reference period","-5..+1","bound sets on the reduced block",5
"achievement","anticipation_1","a_poverty","r2","unweighted","unbalanced",-2,"-1","-1: no state-year","event times are not consecutive around the reference period",,"status kept: no consecutive block through the reference period reaches event time 0",0
"achievement","anticipation_1","b_black_white","r2","unweighted","unbalanced",-2,"-1","-1: no district-year","event times are not consecutive around the reference period",,"status kept: no consecutive block through the reference period reaches event time 0",0
"achievement","anticipation_1","c_hispanic_white","r2","unweighted","unbalanced",-2,"-1","-1: no district-year","event times are not consecutive around the reference period",,"status kept: no consecutive block through the reference period reaches event time 0",0
"achievement","anticipation_1","c_hispanic_white","r2","tested_weighted","unbalanced",-2,"-1","-1: no district-year","event times are not consecutive around the reference period",,"status kept: no consecutive block through the reference period reaches event time 0",0
