"gap","event_set","weighting","panel","e","att","se","boot_se","t_stat","crit_val","ci_lo","ci_hi","p_value","reps","clusters","reference","cohorts","treated_states","treated_units"
"a_poverty","primary","unweighted","unbalanced",-5,-0.0325106767533594,0.0674520360738888,0.0673040496755646,-0.481982140876315,1.8435290960458,-0.156860467843104,0.0918391143363857,0.6293,9999,38,FALSE,2,2,2
"a_poverty","primary","unweighted","unbalanced",-4,0.0515762388917641,0.0700996303148202,0.069509370432143,0.735756218116033,1.80743788128086,-0.0751244884030257,0.178276966186554,0.4962,9999,38,FALSE,3,3,3
"a_poverty","primary","unweighted","unbalanced",-3,-0.140575506100901,0.0658107720358231,0.0661740694916901,-2.13605617670586,1.77000476066866,-0.257060885907588,-0.024090126294214,0.0034,9999,38,FALSE,2,2,2
"a_poverty","primary","unweighted","unbalanced",-2,0.0321309600326251,0.0348269818598187,0.0348046853173212,0.922588128995924,1.85435409951658,-0.0324505965529191,0.0967125166181693,0.394,9999,38,FALSE,4,4,4
"a_poverty","primary","unweighted","unbalanced",-1,0,,,,,,,,9999,38,TRUE,6,6,6
"a_poverty","primary","unweighted","unbalanced",0,-0.00432214596118114,0.0312477699334063,0.0309903333199427,-0.138318541463672,1.8534948822206,-0.0622397276135563,0.053595435691194,0.9036,9999,38,FALSE,4,4,4
"a_poverty","primary","unweighted","unbalanced",1,-0.0249815393965014,0.0491566065802071,0.0491468457482415,-0.508203090783736,1.89347571086051,-0.118058379984449,0.0680953011914467,0.6354,9999,38,FALSE,5,5,5
"a_poverty","primary","unweighted","unbalanced",2,0.0878261949041598,0.0769766193929966,0.0766366564230128,1.14094637562312,1.75021802503234,-0.0468996718635167,0.222552061671836,0.3547,9999,38,FALSE,3,3,3
"a_poverty","primary","unweighted","unbalanced",3,0.0803774600937312,0.0971104054546333,0.0966178965102997,0.827691530247815,1.81647643929422,-0.0960213034249194,0.256776223612382,0.4624,9999,38,FALSE,3,3,3
"a_poverty","primary","unweighted","unbalanced",4,0.301303271594578,0.0384093862943362,0.0382969736573436,7.84452189070793,1.9101771724052,0.227934538689043,0.374672004500112,1e-04,9999,38,FALSE,2,2,2
"a_poverty","primary","unweighted","unbalanced",5,0.214303354752271,0.039659741473127,0.0394128604306086,5.40354895902387,1.92962039358651,0.137775108801356,0.290831600703186,1e-04,9999,38,FALSE,1,1,1
"a_poverty","primary","unweighted","unbalanced",6,0.155970375055925,0.0489504522148426,0.0489881612081367,3.18629078994764,1.96578308544563,0.0597444040670725,0.252196346044777,0.0011,9999,38,FALSE,1,1,1
"a_poverty","primary","unweighted","unbalanced",7,-0.0460347566438762,0.0860097710473109,0.0855603743820966,-0.535227057150915,1.84697773737297,-0.204892888964806,0.112823375677054,0.5969,9999,38,FALSE,2,2,2
"a_poverty","primary","unweighted","unbalanced",8,-0.269840450664249,0.0421816035015522,0.0423969915147088,-6.39711220684912,1.92739456355981,-0.351141043935377,-0.188539857393122,1e-04,9999,38,FALSE,1,1,1
