"gap","event_set","weighting","panel","e","att","se","boot_se","t_stat","crit_val","ci_lo","ci_hi","p_value","reps","clusters","reference","cohorts","treated_states","treated_units"
"b_black_white","primary","unweighted","unbalanced",-5,0.00685283772998146,0.0259042299453444,0.0258171780445704,0.264545124268906,1.93549553193697,-0.0432846835875005,0.0569903590474634,0.7945,9999,40,FALSE,1,1,76
"b_black_white","primary","unweighted","unbalanced",-4,-0.0284054301232985,0.0345656294300822,0.0345932406882711,-0.821782521876411,1.84254961536471,-0.0920943173345356,0.0352834570879386,0.4631,9999,40,FALSE,1,1,76
"b_black_white","primary","unweighted","unbalanced",-3,0.398897487867653,0.0240299256401144,0.0240451949950004,16.6000300559296,1.93854187480015,0.352314470765957,0.445480504969348,1e-04,9999,40,FALSE,1,1,76
"b_black_white","primary","unweighted","unbalanced",-2,0.212328518237656,0.0980615214994202,0.0978655288920082,2.165258247996,1.69066934261775,0.0465389101481355,0.378118126327177,1e-04,9999,40,FALSE,2,2,119
"b_black_white","primary","unweighted","unbalanced",-1,0,,,,,,,,9999,40,TRUE,6,6,163
"b_black_white","primary","unweighted","unbalanced",0,0.0013595253649107,0.027131552180829,0.0269681767599843,0.0501086467832583,1.9079988160201,-0.0504074440728985,0.0531264948027199,0.9636,9999,40,FALSE,3,3,150
"b_black_white","primary","unweighted","unbalanced",1,0.25709260345874,0.213768097822766,0.213131800382374,1.2026705859164,1.77144476022322,-0.121585773332284,0.635770980249764,0.2875,9999,40,FALSE,3,3,150
"b_black_white","primary","unweighted","unbalanced",2,0.670475669743815,0.0204946653809016,0.0206680537207764,32.714643410017,1.94748367382222,0.630562643514059,0.71038869597357,1e-04,9999,40,FALSE,1,1,43
"b_black_white","primary","unweighted","unbalanced",3,-0.0978942460330834,0.0393082743949324,0.0393111243160639,-2.49042339151127,1.90819566937567,-0.172902125004124,-0.0228863670620429,0.0077,9999,40,FALSE,2,2,119
"b_black_white","primary","unweighted","unbalanced",4,,,,,,,,,9999,40,FALSE,0,0,0
"b_black_white","primary","unweighted","unbalanced",5,-0.0184584838280692,0.0279741432748227,0.0281268290562571,-0.659840898315632,1.91560489030167,-0.072045889487319,0.0351289218311806,0.5335,9999,40,FALSE,1,1,43
"b_black_white","primary","unweighted","unbalanced",6,0.0504401147026095,0.0414043729335329,0.0413094316945145,1.218231581084,1.92100725606233,-0.0290979861354178,0.129978215540637,0.2295,9999,40,FALSE,1,1,43
"b_black_white","primary","unweighted","unbalanced",7,0.00837141302283712,0.0365720013384774,0.0365857635289846,0.228902239868113,1.94988674880397,-0.0629398477643011,0.0796826738099753,0.8234,9999,40,FALSE,1,1,43
"b_black_white","primary","unweighted","unbalanced",8,,,,,,,,,9999,40,FALSE,0,0,0
