"gap","event_set","weighting","panel","e","att","se","boot_se","t_stat","crit_val","ci_lo","ci_hi","p_value","reps","clusters","reference","cohorts","treated_states","treated_units"
"c_hispanic_white","primary","unweighted","unbalanced",-5,-0.00182425876212472,0.0219644381750122,0.021809150024755,-0.0830551069683215,1.94954551875816,-0.0446449307782605,0.040996413254011,0.9342,9999,39,FALSE,1,1,116
"c_hispanic_white","primary","unweighted","unbalanced",-4,0.00689703556289149,0.0347352207118676,0.0346544048820168,0.198560291875015,1.92189995025523,-0.0598605833953513,0.0736546545211343,0.8501,9999,39,FALSE,2,2,126
"c_hispanic_white","primary","unweighted","unbalanced",-3,0.163148851363681,0.0204448506873376,0.0205543804958431,7.97994829400862,1.92710062009287,0.123749566926406,0.202548135800955,1e-04,9999,39,FALSE,2,2,126
"c_hispanic_white","primary","unweighted","unbalanced",-2,0.159161968607196,0.126435411368293,0.126099712419334,1.25884012148759,1.70137032180206,-0.0559514879196533,0.374275425134045,0.3209,9999,39,FALSE,3,3,194
"c_hispanic_white","primary","unweighted","unbalanced",-1,0,,,,,,,,9999,39,TRUE,6,6,339
"c_hispanic_white","primary","unweighted","unbalanced",0,0.0406207221221893,0.0222394849926189,0.0222704148207109,1.82651361466648,1.8280527696108,-3.42300132856049e-05,0.0812756742576642,0.0505,9999,39,FALSE,3,3,279
"c_hispanic_white","primary","unweighted","unbalanced",1,0.0848228191146761,0.0272787715310153,0.0273145688765771,3.10948090232857,1.85372740636378,0.0342554127156972,0.135390225513655,1e-04,9999,39,FALSE,4,4,289
"c_hispanic_white","primary","unweighted","unbalanced",2,0.0696118303638101,0.167097821943354,0.166979479550722,0.416593283827532,1.67787102241876,-0.210756762984234,0.349980423711854,0.5295,9999,39,FALSE,2,2,163
"c_hispanic_white","primary","unweighted","unbalanced",3,0.136561545802175,0.0795063881781294,0.079588027769286,1.71761727493163,1.83099635789451,-0.00901436138132672,0.282137452985677,0.0778,9999,39,FALSE,3,3,279
"c_hispanic_white","primary","unweighted","unbalanced",4,0.24948845271884,0.0294925828427569,0.0296485973272297,8.45936261496716,1.8202150600085,0.195805609269905,0.303171296167774,1e-04,9999,39,FALSE,1,1,68
"c_hispanic_white","primary","unweighted","unbalanced",5,-0.0853050152804979,0.030119385936183,0.0298606237432262,-2.83222956341947,1.88895975897613,-0.142199323279019,-0.0284107072819767,0.0013,9999,39,FALSE,1,1,68
"c_hispanic_white","primary","unweighted","unbalanced",6,-0.0969076392264022,0.0300091279703559,0.0297843453189507,-3.22927208421821,1.89214323353914,-0.153689207659922,-0.0401260707928829,2e-04,9999,39,FALSE,1,1,68
"c_hispanic_white","primary","unweighted","unbalanced",7,0.0865456133700769,0.144337932802572,0.144297802089101,0.599604079742889,1.70535778430011,-0.159602203904575,0.332693430644728,0.5081,9999,39,FALSE,2,2,163
"c_hispanic_white","primary","unweighted","unbalanced",8,0.345673739661055,0.0259058485435578,0.0257059615606611,13.3434633140792,1.73459765164367,0.300737515613563,0.390609963708547,1e-04,9999,39,FALSE,1,1,95
