"package","version","r_version","recorded_utc"
"data.table","1.18.6.1","R version 4.6.1 (2026-06-24 ucrt)","2026-09-11T05:35:55Z"
"digest","0.6.39","R version 4.6.1 (2026-06-24 ucrt)","2026-09-11T05:35:55Z"
"future","1.75.0","R version 4.6.1 (2026-06-24 ucrt)","2026-09-11T05:35:55Z"
"furrr","0.4.0","R version 4.6.1 (2026-06-24 ucrt)","2026-09-11T05:35:55Z"
"testthat","3.3.2","R version 4.6.1 (2026-06-24 ucrt)","2026-09-11T05:35:55Z"
"remotes","2.5.0","R version 4.6.1 (2026-06-24 ucrt)","2026-09-11T05:35:55Z"
"renv","1.2.4","R version 4.6.1 (2026-06-24 ucrt)","2026-09-11T05:35:55Z"
"did","2.5.1","R version 4.6.1 (2026-06-24 ucrt)","2026-09-11T05:35:55Z"
"fixest","0.14.2","R version 4.6.1 (2026-06-24 ucrt)","2026-09-11T05:35:55Z"
"didimputation","0.5.1","R version 4.6.1 (2026-06-24 ucrt)","2026-09-11T05:35:55Z"
"fwildclusterboot","0.14.3","R version 4.6.1 (2026-06-24 ucrt)","2026-09-11T05:35:55Z"
"wildrwolf","0.7.0","R version 4.6.1 (2026-06-24 ucrt)","2026-09-11T05:35:55Z"
"HonestDiD","0.2.8","R version 4.6.1 (2026-06-24 ucrt)","2026-09-11T05:35:55Z"
"synthdid","0.0.9","R version 4.6.1 (2026-06-24 ucrt)","2026-09-11T05:35:55Z"
"summclust","0.7.0","R version 4.6.1 (2026-06-24 ucrt)","2026-09-11T05:35:55Z"
"readxl","1.5.0.1","R version 4.6.1 (2026-06-24 ucrt)","2026-09-16T19:44:51Z"
"readxlsb","0.1.61","R version 4.6.1 (2026-06-24 ucrt)","2026-09-16T19:44:51Z"
