"family","gap","event_set","weighting","panel","cohort","states","base_year","treated_units_base","treated_units","row","year","event_time","att","se","status"
"seda","b_black_white","primary","unweighted","unbalanced",2017,"SD",2016,1,4,"cohort post-reform average (did aggte, group)",,,0.0257808284901351,0.00911618113734121,"ok"
"seda","b_black_white","primary","unweighted","unbalanced",2017,"SD",2016,1,4,"group-time cell",2009,-8,0.291906722748656,0.0141773324512235,"ok"
"seda","b_black_white","primary","unweighted","unbalanced",2017,"SD",2016,1,4,"group-time cell",2010,-7,0.00781638104772912,0.0131981609457036,"ok"
"seda","b_black_white","primary","unweighted","unbalanced",2017,"SD",2016,1,4,"group-time cell",2011,-6,0.198468750073178,0.0112426707577991,"ok"
"seda","b_black_white","primary","unweighted","unbalanced",2017,"SD",2016,1,4,"group-time cell",2012,-5,-0.0212568557372475,0.0117883744260175,"ok"
"seda","b_black_white","primary","unweighted","unbalanced",2017,"SD",2016,1,4,"group-time cell",2013,-4,0.00216031508897962,0.00927693973736972,"ok"
"seda","b_black_white","primary","unweighted","unbalanced",2017,"SD",2016,1,4,"group-time cell",2014,-3,,,"not estimable"
"seda","b_black_white","primary","unweighted","unbalanced",2017,"SD",2016,1,4,"group-time cell",2015,-2,-0.0575666979484062,0.00669986969579686,"ok"
"seda","b_black_white","primary","unweighted","unbalanced",2017,"SD",2016,1,4,"group-time cell",2016,-1,0,,"reference (base period)"
"seda","b_black_white","primary","unweighted","unbalanced",2017,"SD",2016,1,4,"group-time cell",2017,0,-0.041856844874699,0.0071057546513885,"ok"
"seda","b_black_white","primary","unweighted","unbalanced",2017,"SD",2016,1,4,"group-time cell",2018,1,-0.0453976801131007,0.0112459748903225,"ok"
"seda","b_black_white","primary","unweighted","unbalanced",2017,"SD",2016,1,4,"group-time cell",2019,2,-0.040805016536167,0.0102330490470315,"ok"
"seda","b_black_white","primary","unweighted","unbalanced",2017,"SD",2016,1,4,"group-time cell",2022,5,-0.1665302562784,0.0154325616013771,"ok"
"seda","b_black_white","primary","unweighted","unbalanced",2017,"SD",2016,1,4,"group-time cell",2023,6,0.28926775362503,0.0109049031378561,"ok"
"seda","b_black_white","primary","unweighted","unbalanced",2017,"SD",2016,1,4,"group-time cell",2024,7,0.154652505105915,0.0132180556691335,"ok"
"seda","b_black_white","primary","unweighted","unbalanced",2017,"SD",2016,1,4,"group-time cell",2025,8,0.0311353385023687,0.0138737880422976,"ok"
"seda","b_black_white","primary","unweighted","unbalanced",2019,"NM",2018,0,8,"cohort post-reform average (did aggte, group)",,,,,"no estimable cell (no treated unit at the base period)"
"seda","b_black_white","primary","unweighted","unbalanced",2019,"NM",2018,0,8,"group-time cell",2009,-10,,,"not estimable"
"seda","b_black_white","primary","unweighted","unbalanced",2019,"NM",2018,0,8,"group-time cell",2010,-9,,,"not estimable"
"seda","b_black_white","primary","unweighted","unbalanced",2019,"NM",2018,0,8,"group-time cell",2011,-8,,,"not estimable"
"seda","b_black_white","primary","unweighted","unbalanced",2019,"NM",2018,0,8,"group-time cell",2012,-7,,,"not estimable"
"seda","b_black_white","primary","unweighted","unbalanced",2019,"NM",2018,0,8,"group-time cell",2013,-6,,,"not estimable"
"seda","b_black_white","primary","unweighted","unbalanced",2019,"NM",2018,0,8,"group-time cell",2014,-5,,,"not estimable"
"seda","b_black_white","primary","unweighted","unbalanced",2019,"NM",2018,0,8,"group-time cell",2015,-4,,,"not estimable"
"seda","b_black_white","primary","unweighted","unbalanced",2019,"NM",2018,0,8,"group-time cell",2016,-3,,,"not estimable"
"seda","b_black_white","primary","unweighted","unbalanced",2019,"NM",2018,0,8,"group-time cell",2017,-2,,,"not estimable"
"seda","b_black_white","primary","unweighted","unbalanced",2019,"NM",2018,0,8,"group-time cell",2018,-1,0,,"reference (base period)"
"seda","b_black_white","primary","unweighted","unbalanced",2019,"NM",2018,0,8,"group-time cell",2019,0,,,"not estimable"
"seda","b_black_white","primary","unweighted","unbalanced",2019,"NM",2018,0,8,"group-time cell",2022,3,,,"not estimable"
"seda","b_black_white","primary","unweighted","unbalanced",2019,"NM",2018,0,8,"group-time cell",2023,4,,,"not estimable"
"seda","b_black_white","primary","unweighted","unbalanced",2019,"NM",2018,0,8,"group-time cell",2024,5,,,"not estimable"
