"family","gap","bin","row_type","package_label","index","event_time","switchers","stayers","stayer_states","stayer_cells","estimable","status","estimate","se","ci_lo","ci_hi","n_package","switchers_package","switchers_match_package","n_match_package"
"hs","b_black_white","bin_1000","placebo","Placebo_5",5,-6,0,0,0,0,FALSE,"not estimable: 0 stayers in 0 states (need 20 in 3)",,,,,0,0,TRUE,
"hs","b_black_white","bin_1000","placebo","Placebo_4",4,-5,22,9,6,11,FALSE,"not estimable: 9 stayers in 6 states (need 20 in 3)",,,,,32,22,TRUE,
"hs","b_black_white","bin_1000","placebo","Placebo_3",3,-4,65,27,11,48,TRUE,"ok",-0.0364879215133064,0.0532895180847029,-0.14093345771282,0.0679576146862071,103,65,TRUE,
"hs","b_black_white","bin_1000","placebo","Placebo_2",2,-3,150,102,16,169,TRUE,"ok",0.0354192571945803,0.0208087678094014,-0.00536517827450279,0.0762036926636634,250,150,TRUE,
"hs","b_black_white","bin_1000","placebo","Placebo_1",1,-2,353,283,27,557,TRUE,"ok",0.0177011345889706,0.0118324416610653,-0.00549002491588878,0.0408922940938299,664,353,TRUE,
"hs","b_black_white","bin_1000","effect","Effect_1",1,0,987,540,34,1119,TRUE,"ok",0.0116299781311754,0.00941491853029955,-0.00682292310559052,0.0300828793679413,2106,987,TRUE,TRUE
"hs","b_black_white","bin_1000","effect","Effect_2",2,1,866,301,27,611,TRUE,"ok",0.00807264513333049,0.0124542067509601,-0.0163371515545668,0.0324824418212278,1477,866,TRUE,TRUE
"hs","b_black_white","bin_1000","effect","Effect_3",3,2,621,172,18,354,TRUE,"ok",0.00729528610020259,0.0119969850724961,-0.0162183725649544,0.0308089447653596,975,621,TRUE,TRUE
"hs","b_black_white","bin_1000","effect","Effect_4",4,3,531,120,18,216,TRUE,"ok",0.00723926022537434,0.0160197746821009,-0.0241589211919899,0.0386374416427386,747,531,TRUE,TRUE
"hs","b_black_white","bin_1000","effect","Effect_5",5,4,412,60,18,117,TRUE,"ok",0.00460022701528701,0.0271267213625852,-0.0485671698740332,0.0577676239046072,529,412,TRUE,TRUE
"hs","b_black_white","bin_1000","effect","Effect_6",6,5,336,35,12,66,TRUE,"ok",0.0230775947796871,0.0224623949588961,-0.0209478903462634,0.0671030799056375,402,336,TRUE,TRUE
"hs","b_black_white","bin_1000","effect","Effect_7",7,6,269,26,10,38,TRUE,"ok",0.0268121173112244,0.0288804592596802,-0.0297925426947252,0.083416777317174,307,269,TRUE,TRUE
"hs","b_black_white","bin_1000","effect","Effect_8",8,7,118,12,7,15,FALSE,"not estimable: 12 stayers in 7 states (need 20 in 3)",,,,,133,118,TRUE,TRUE
"hs","b_black_white","bin_1000","effect","Effect_9",9,8,85,6,3,6,FALSE,"not estimable: 6 stayers in 3 states (need 20 in 3)",,,,,91,85,TRUE,TRUE
"hs","b_black_white","bin_2000","placebo","Placebo_5",5,-6,47,20,9,33,TRUE,"ok",0.0789610285834878,0.100132436608478,-0.11729494085337,0.275216998020345,80,47,TRUE,
"hs","b_black_white","bin_2000","placebo","Placebo_4",4,-5,94,93,14,151,TRUE,"ok",0.0105773201768658,0.0296624227192866,-0.0475599600471385,0.0687146004008702,245,94,TRUE,
"hs","b_black_white","bin_2000","placebo","Placebo_3",3,-4,136,182,20,376,TRUE,"ok",-0.0092321891649562,0.0486532063884258,-0.104590721418665,0.0861263430887525,498,136,TRUE,
"hs","b_black_white","bin_2000","placebo","Placebo_2",2,-3,230,299,26,761,TRUE,"ok",0.0623316574045066,0.0229568793880148,0.0173370006065678,0.107326314202445,906,230,TRUE,
"hs","b_black_white","bin_2000","placebo","Placebo_1",1,-2,412,580,32,1609,TRUE,"ok",0.0119277773577374,0.0105601751005031,-0.00876978550968536,0.0326253402251601,1830,412,TRUE,
"hs","b_black_white","bin_2000","effect","Effect_1",1,0,839,813,37,2522,TRUE,"ok",0.0242081138456084,0.00963306169103193,0.00532765987033334,0.0430885678208835,3361,839,TRUE,TRUE
"hs","b_black_white","bin_2000","effect","Effect_2",2,1,766,608,32,1778,TRUE,"ok",0.0216301468942218,0.0133104701621584,-0.00445789524090376,0.0477181890293474,2544,766,TRUE,TRUE
"hs","b_black_white","bin_2000","effect","Effect_3",3,2,625,435,29,1267,TRUE,"ok",0.0382757221536858,0.0147678022502646,0.00933136161235754,0.067220082695014,1892,625,TRUE,TRUE
"hs","b_black_white","bin_2000","effect","Effect_4",4,3,577,369,28,971,TRUE,"ok",0.0471909134438448,0.0118022961519297,0.024058838051187,0.0703229888365026,1548,577,TRUE,TRUE
"hs","b_black_white","bin_2000","effect","Effect_5",5,4,498,282,22,719,TRUE,"ok",0.0470589272464261,0.018232201315961,0.0113244693082586,0.0827933851845935,1217,498,TRUE,TRUE
"hs","b_black_white","bin_2000","effect","Effect_6",6,5,418,223,21,531,TRUE,"ok",0.0438497022036157,0.0270660708708776,-0.00919882190631303,0.0968982263135443,949,418,TRUE,TRUE
"hs","b_black_white","bin_2000","effect","Effect_7",7,6,399,175,20,358,TRUE,"ok",0.0447003588415324,0.0301241996988251,-0.0143419876312571,0.103742705314322,757,399,TRUE,TRUE
"hs","b_black_white","bin_2000","effect","Effect_8",8,7,293,119,18,208,TRUE,"ok",0.043445543516937,0.0263118598934665,-0.0081247542405213,0.0950158412743953,501,293,TRUE,TRUE
"hs","b_black_white","bin_2000","effect","Effect_9",9,8,257,79,19,115,TRUE,"ok",0.0232853657841939,0.0171067146033038,-0.0102431787320871,0.0568139103004748,372,257,TRUE,TRUE
