"gap","event_set","weighting","panel","e","att","se","boot_se","t_stat","crit_val","ci_lo","ci_hi","p_value","reps","clusters","reference","cohorts","treated_states","treated_units","single_treated_state"
"b_black_white","primary","unweighted","unbalanced",-5,-0.0256847003717501,0.034296352475867,0.034319981248899,-0.74890472360941,1.90315050760489,-0.0909558209951927,0.0395864202516926,0.4754,9999,35,FALSE,4,5,415,FALSE
"b_black_white","primary","unweighted","unbalanced",-4,0.0422234805895006,0.0385718392074979,0.0387457738739306,1.09467117609712,1.9389488975937,-0.0325653445200389,0.11701230569904,0.2894,9999,35,FALSE,3,4,334,FALSE
"b_black_white","primary","unweighted","unbalanced",-3,0.167646930562518,0.128651937522936,0.129047865179653,1.30310459205194,1.74752093853638,-0.0571750240420866,0.392468885167123,0.2731,9999,35,FALSE,2,3,286,FALSE
"b_black_white","primary","unweighted","unbalanced",-2,0.121950557365865,0.101530897442285,0.101872094947623,1.20111769360837,1.75566509893775,-0.0563036957373829,0.300204810469113,0.3407,9999,35,FALSE,4,4,295,FALSE
"b_black_white","primary","unweighted","unbalanced",-1,0,,,,,,,,9999,35,TRUE,6,7,503,FALSE
"b_black_white","primary","unweighted","unbalanced",0,-0.00779196254768998,0.0257984203404857,0.0258815619614837,-0.302032544816785,1.84021245150863,-0.0552665368875051,0.0396826117921252,0.7951,9999,35,FALSE,6,7,503,FALSE
"b_black_white","primary","unweighted","unbalanced",1,0.0923354046746499,0.0961134717712402,0.0958713403423994,0.960691596849373,1.67255432204293,-0.0684195979428895,0.253090407292189,0.4343,9999,35,FALSE,6,7,503,FALSE
"b_black_white","primary","unweighted","unbalanced",2,0.0614314246053392,0.163328854290794,0.163047625166812,0.376121077148838,1.75875653995439,-0.225824266041853,0.348687115252531,0.6548,9999,35,FALSE,3,4,282,FALSE
"b_black_white","primary","unweighted","unbalanced",3,-0.0504425028603264,0.0369881241445691,0.0374502034106599,-1.36374860923388,1.94913310946868,-0.122537280287644,0.0216522745669911,0.1885,9999,35,FALSE,3,4,343,FALSE
"b_black_white","primary","unweighted","unbalanced",4,-0.0674039963026872,0.0415264438296059,0.0416956601905312,-1.62315840429929,1.86824089604668,-0.144985396932542,0.0101774043271679,0.1016,9999,35,FALSE,1,1,109,TRUE
"b_black_white","primary","unweighted","unbalanced",5,0.0334325754423314,0.0414020080334974,0.0416239708097609,0.807510964571618,1.95447050714501,-0.0474864281957199,0.114351579080383,0.4379,9999,35,FALSE,2,2,166,FALSE
"b_black_white","primary","unweighted","unbalanced",6,0.131257133934483,0.0648475294284324,0.0653306642454626,2.02408842852437,1.9274120905276,0.00626922167327834,0.256245046195688,0.037,9999,35,FALSE,2,2,166,FALSE
"b_black_white","primary","unweighted","unbalanced",7,0.00796162967963357,0.0557540861055961,0.0558595900759511,0.142799034756924,1.75954070164559,-0.0901399541062158,0.106063213465483,0.9214,9999,35,FALSE,2,2,166,FALSE
"b_black_white","primary","unweighted","unbalanced",8,,,,,,,,,9999,35,FALSE,0,0,0,FALSE
