"family","gap","bin","row_type","package_label","index","event_time","switchers","stayers","stayer_states","stayer_cells","estimable","status","estimate","se","ci_lo","ci_hi","n_package","switchers_package","switchers_match_package","n_match_package"
"seda","b_black_white","bin_1000","placebo","Placebo_5",5,-6,3,2,2,2,FALSE,"not estimable: 2 stayers in 2 states (need 20 in 3)",,,,,5,3,TRUE,
"seda","b_black_white","bin_1000","placebo","Placebo_4",4,-5,94,24,10,33,TRUE,"ok",0.0377728352179755,0.0368908806491953,-0.0345319622124129,0.110077632648364,124,94,TRUE,
"seda","b_black_white","bin_1000","placebo","Placebo_3",3,-4,162,52,13,115,TRUE,"ok",0.0245352781011549,0.0140012203163176,-0.00290660945843801,0.0519771656607479,264,162,TRUE,
"seda","b_black_white","bin_1000","placebo","Placebo_2",2,-3,322,179,20,384,TRUE,"ok",0.00576433557188691,0.00665083053990304,-0.00727105275360213,0.018799723897376,619,322,TRUE,
"seda","b_black_white","bin_1000","placebo","Placebo_1",1,-2,679,447,28,1051,TRUE,"ok",-0.00780849023303858,0.00510266637834609,-0.0178095325597204,0.0021925520936432,1409,679,TRUE,
"seda","b_black_white","bin_1000","effect","Effect_1",1,0,1639,793,35,1858,TRUE,"ok",0.00178678804843637,0.00278499647851026,-0.00367170474651461,0.00724528084338734,3497,1639,TRUE,TRUE
"seda","b_black_white","bin_1000","effect","Effect_2",2,1,1515,453,28,1109,TRUE,"ok",0.00191118312884371,0.00566816703004533,-0.0091982201084025,0.0130205863660899,2624,1515,TRUE,TRUE
"seda","b_black_white","bin_1000","effect","Effect_3",3,2,1331,281,23,683,TRUE,"ok",0.00441612759525643,0.00568331014479958,-0.00672295560152187,0.0155552107920347,2014,1331,TRUE,TRUE
"seda","b_black_white","bin_1000","effect","Effect_4",4,3,1120,189,20,414,TRUE,"ok",0.0103031501335796,0.00845015639412895,-0.00625885206264398,0.0268651523298032,1534,1120,TRUE,TRUE
"seda","b_black_white","bin_1000","effect","Effect_5",5,4,1013,114,16,234,TRUE,"ok",0.000660032451180951,0.00905490042287338,-0.0170872462612474,0.0184073111636093,1247,1013,TRUE,TRUE
"seda","b_black_white","bin_1000","effect","Effect_6",6,5,814,56,13,124,TRUE,"ok",0.00132365247229915,0.010737396797698,-0.0197212585389046,0.0223685634835029,938,814,TRUE,TRUE
"seda","b_black_white","bin_1000","effect","Effect_7",7,6,621,40,12,75,TRUE,"ok",-0.000912727158337145,0.0120763095503939,-0.0245818589432664,0.0227564046265921,696,621,TRUE,TRUE
"seda","b_black_white","bin_1000","effect","Effect_8",8,7,425,24,10,36,TRUE,"ok",-0.0189621251577783,0.0198789981532461,-0.0579242455868789,0.0199999952713223,461,425,TRUE,TRUE
"seda","b_black_white","bin_1000","effect","Effect_9",9,8,364,12,7,14,FALSE,"not estimable: 12 stayers in 7 states (need 20 in 3)",,,,,378,364,TRUE,TRUE
"seda","b_black_white","bin_2000","placebo","Placebo_5",5,-6,90,43,13,90,TRUE,"ok",-0.00100827391081817,0.0333582391398122,-0.0663892212125245,0.0643726733908881,180,90,TRUE,
"seda","b_black_white","bin_2000","placebo","Placebo_4",4,-5,230,209,21,391,TRUE,"ok",-0.00536995890960538,0.0102865134685015,-0.0255311548343544,0.0147912370151437,618,230,TRUE,
"seda","b_black_white","bin_2000","placebo","Placebo_3",3,-4,352,336,26,909,TRUE,"ok",0.00236945738523558,0.00653095499073846,-0.0104309791812639,0.0151698939517351,1231,352,TRUE,
"seda","b_black_white","bin_2000","placebo","Placebo_2",2,-3,520,552,29,1758,TRUE,"ok",-0.0100395387232107,0.00949939386400474,-0.0286580085716207,0.00857893112519941,2167,520,TRUE,
"seda","b_black_white","bin_2000","placebo","Placebo_1",1,-2,841,882,32,3273,TRUE,"ok",-0.00824620945947201,0.00354663500220621,-0.0151974863301053,-0.0012949325888387,3841,841,TRUE,
"seda","b_black_white","bin_2000","effect","Effect_1",1,0,1497,1173,36,4536,TRUE,"ok",-0.00665842197167185,0.00299689914825416,-0.0125322363675488,-0.000784607575794931,6033,1497,TRUE,TRUE
"seda","b_black_white","bin_2000","effect","Effect_2",2,1,1379,895,33,3380,TRUE,"ok",-0.00593200018742196,0.00403935330721625,-0.0138489871903986,0.00198498681555464,4759,1379,TRUE,TRUE
"seda","b_black_white","bin_2000","effect","Effect_3",3,2,1247,714,32,2562,TRUE,"ok",-0.00396155889082432,0.00496201865814285,-0.0136869367514001,0.00576381896975143,3809,1247,TRUE,TRUE
"seda","b_black_white","bin_2000","effect","Effect_4",4,3,1150,575,29,1935,TRUE,"ok",-0.00401768799492541,0.0060219374923816,-0.0158204685971448,0.00778509260729398,3085,1150,TRUE,TRUE
"seda","b_black_white","bin_2000","effect","Effect_5",5,4,1107,451,26,1447,TRUE,"ok",-0.00462374019812956,0.00680123245463019,-0.0179539108596897,0.00870643046343057,2554,1107,TRUE,TRUE
"seda","b_black_white","bin_2000","effect","Effect_6",6,5,961,344,26,1028,TRUE,"ok",0.00243981242763176,0.00973493697478604,-0.0166403134347162,0.0215199382899797,1989,961,TRUE,TRUE
"seda","b_black_white","bin_2000","effect","Effect_7",7,6,870,276,23,721,TRUE,"ok",0.00358983564896266,0.0110363597035303,-0.018041031890386,0.0252207031883113,1591,870,TRUE,TRUE
"seda","b_black_white","bin_2000","effect","Effect_8",8,7,751,218,21,454,TRUE,"ok",-0.00729113431219601,0.0149843480776868,-0.0366599168762741,0.0220776482518821,1205,751,TRUE,TRUE
