"gap","event_set","weighting","panel","e","att","se","boot_se","t_stat","crit_val","ci_lo","ci_hi","p_value","reps","clusters","reference","cohorts","treated_states","treated_units","single_treated_state"
"b_black_white","primary","unweighted","unbalanced",-5,-0.0233181677934766,0.0124635424192384,0.0124548128045411,-1.87091013205711,1.81101291998128,-0.045889804143452,-0.000746531443501227,0.0414,9999,33,FALSE,4,5,532,FALSE
"b_black_white","primary","unweighted","unbalanced",-4,-0.0135935822957137,0.00751033207411469,0.00748655825160927,-1.80998418732584,1.92843849925717,-0.0280767958096424,0.000889631218214995,0.0671,9999,33,FALSE,3,4,380,FALSE
"b_black_white","primary","unweighted","unbalanced",-3,0.0069325977649365,0.00725747657673363,0.00727697145799182,0.955235293099169,1.92622027471549,-0.00704690076044057,0.0209120962903136,0.3643,9999,33,FALSE,3,4,371,FALSE
"b_black_white","primary","unweighted","unbalanced",-2,0.000553140920340959,0.0113242819636742,0.0113222484481907,0.0488455623160316,1.74797933218354,-0.0192414699039803,0.0203477517446622,0.935,9999,33,FALSE,4,4,420,FALSE
"b_black_white","primary","unweighted","unbalanced",-1,0,,,,,,,,9999,33,TRUE,5,5,501,FALSE
"b_black_white","primary","unweighted","unbalanced",0,-0.0143974565928233,0.0146222342813845,0.0146082553335713,-0.98462767835369,1.93923426472838,-0.04275339433817,0.0139584811525234,0.3377,9999,33,FALSE,6,7,648,FALSE
"b_black_white","primary","unweighted","unbalanced",1,-0.0119761346664717,0.0188393582718154,0.0189608160622619,-0.635697590845684,1.9673105527469,-0.0490390030015938,0.0250867336686503,0.5399,9999,33,FALSE,6,7,648,FALSE
"b_black_white","primary","unweighted","unbalanced",2,-0.00636362460251969,0.0248068310620925,0.0249088707667452,-0.256527106851789,1.79381797256373,-0.0508625640040534,0.038135314799014,0.8406,9999,33,FALSE,4,5,344,FALSE
"b_black_white","primary","unweighted","unbalanced",3,-0.0309901696141816,0.0488854697399684,0.0488463485553297,-0.633934168558151,1.72692955876377,-0.115411932302185,0.0534315930738219,0.5132,9999,33,FALSE,2,3,219,FALSE
"b_black_white","primary","unweighted","unbalanced",4,0.00357734166630312,0.0238404238652825,0.0238385723032231,0.150053610058192,1.78427595162883,-0.0389605533131585,0.0461152366457648,0.8522,9999,33,FALSE,3,3,268,FALSE
"b_black_white","primary","unweighted","unbalanced",5,0.00471530531250954,0.0189489823594359,0.0189362763320979,0.248842139544317,1.79689143721704,-0.0293339588331374,0.0387645694581565,0.8428,9999,33,FALSE,3,3,268,FALSE
"b_black_white","primary","unweighted","unbalanced",6,-0.0180056024490376,0.0214820212775983,0.0214156535076806,-0.838170776220857,1.85411255362794,-0.0578356877771352,0.02182448287906,0.4373,9999,33,FALSE,3,3,268,FALSE
"b_black_white","primary","unweighted","unbalanced",7,-0.0276919500820516,0.0418566402897134,0.0418477502745153,-0.66159036870566,1.82088994513372,-0.10390828552267,0.0485243853585663,0.5192,9999,33,FALSE,2,2,116,FALSE
"b_black_white","primary","unweighted","unbalanced",8,-0.0619524476727851,0.0175174515526933,0.0176592612331432,-3.53661304479304,1.96160295939233,-0.09631473247956,-0.0275901628660103,1e-04,9999,33,FALSE,1,1,44,TRUE
