"family","gap","bin","row_type","package_label","index","event_time","switchers","stayers","stayer_states","stayer_cells","estimable","status","estimate","se","ci_lo","ci_hi","n_package","switchers_package","switchers_match_package","n_match_package"
"seda","c_hispanic_white","bin_1000","placebo","Placebo_5",5,-6,3,1,1,2,FALSE,"not estimable: 1 stayers in 1 states (need 20 in 3)",,,,,5,3,TRUE,
"seda","c_hispanic_white","bin_1000","placebo","Placebo_4",4,-5,62,21,6,27,TRUE,"ok",-0.00659248709994339,0.0249325194778525,-0.0554593273203777,0.0422743531204909,85,62,TRUE,
"seda","c_hispanic_white","bin_1000","placebo","Placebo_3",3,-4,184,48,11,102,TRUE,"ok",-0.0216614870864133,0.0144176545188133,-0.0499195706848284,0.00659659651200188,273,184,TRUE,
"seda","c_hispanic_white","bin_1000","placebo","Placebo_2",2,-3,359,173,23,365,TRUE,"ok",-0.0157398321397618,0.0174219294384858,-0.0498861863803921,0.0184065221008685,627,359,TRUE,
"seda","c_hispanic_white","bin_1000","placebo","Placebo_1",1,-2,754,505,31,1141,TRUE,"ok",-0.00749333065435596,0.00517486008911389,-0.0176358700540529,0.002649208745341,1517,754,TRUE,
"seda","c_hispanic_white","bin_1000","effect","Effect_1",1,0,1831,894,33,2048,TRUE,"ok",0.00113475854682985,0.00188312322329368,-0.00255609514927674,0.00482561224293644,3879,1831,TRUE,TRUE
"seda","c_hispanic_white","bin_1000","effect","Effect_2",2,1,1690,516,32,1188,TRUE,"ok",0.000947439252603111,0.00448478306679073,-0.00784257403678182,0.00973745254198804,2878,1690,TRUE,TRUE
"seda","c_hispanic_white","bin_1000","effect","Effect_3",3,2,1514,319,27,694,TRUE,"ok",0.0087498361646519,0.00699449817970052,-0.00495912835749209,0.0224588006867959,2208,1514,TRUE,TRUE
"seda","c_hispanic_white","bin_1000","effect","Effect_4",4,3,1205,186,23,393,TRUE,"ok",0.0236657183900022,0.00958976699066471,0.00487012046816833,0.0424613163118361,1598,1205,TRUE,TRUE
"seda","c_hispanic_white","bin_1000","effect","Effect_5",5,4,1050,111,17,218,TRUE,"ok",0.00986733050711898,0.00792469737446812,-0.00566479093521766,0.0253994519494556,1268,1050,TRUE,TRUE
"seda","c_hispanic_white","bin_1000","effect","Effect_6",6,5,668,52,11,109,TRUE,"ok",0.0234771956616762,0.0118769896090439,0.000198723783193647,0.0467556675401587,777,668,TRUE,TRUE
"seda","c_hispanic_white","bin_1000","effect","Effect_7",7,6,528,36,10,64,TRUE,"ok",0.0137510373914265,0.0127571172129162,-0.0112524528924452,0.0387545276752982,592,528,TRUE,TRUE
"seda","c_hispanic_white","bin_1000","effect","Effect_8",8,7,341,21,6,28,TRUE,"ok",0.0107949842365949,0.0119492703936576,-0.0126251553765048,0.0342151238496947,369,341,TRUE,TRUE
"seda","c_hispanic_white","bin_1000","effect","Effect_9",9,8,151,6,3,7,FALSE,"not estimable: 6 stayers in 3 states (need 20 in 3)",,,,,158,151,TRUE,TRUE
"seda","c_hispanic_white","bin_2000","placebo","Placebo_5",5,-6,114,42,16,85,TRUE,"ok",0.0325964644312963,0.0198732669569583,-0.0063544230594919,0.0715473519220845,197,114,TRUE,
"seda","c_hispanic_white","bin_2000","placebo","Placebo_4",4,-5,289,188,24,338,TRUE,"ok",-0.00991641737194664,0.0135198813472316,-0.0364148978877754,0.0165820631438821,619,289,TRUE,
"seda","c_hispanic_white","bin_2000","placebo","Placebo_3",3,-4,450,318,31,843,TRUE,"ok",-0.00939109521161425,0.00897516514946628,-0.0269820956598672,0.0081999052366387,1258,450,TRUE,
"seda","c_hispanic_white","bin_2000","placebo","Placebo_2",2,-3,650,586,30,1722,TRUE,"ok",-0.0080342382773846,0.00627232388375815,-0.020327767188921,0.00425929063415177,2239,650,TRUE,
"seda","c_hispanic_white","bin_2000","placebo","Placebo_1",1,-2,1035,1029,34,3462,TRUE,"ok",-0.0037742192247531,0.00297241178693018,-0.0096000392743586,0.00205160082485241,4145,1035,TRUE,
"seda","c_hispanic_white","bin_2000","effect","Effect_1",1,0,1786,1400,36,4941,TRUE,"ok",0.00546061608363312,0.00223677638271696,0.00107661493203809,0.00984461723522815,6727,1786,TRUE,TRUE
"seda","c_hispanic_white","bin_2000","effect","Effect_2",2,1,1666,1053,35,3586,TRUE,"ok",0.0059233183530186,0.00294115549080571,0.000158759518107182,0.01168787718793,5252,1666,TRUE,TRUE
"seda","c_hispanic_white","bin_2000","effect","Effect_3",3,2,1548,820,35,2616,TRUE,"ok",0.00723632962139712,0.00415844201817478,-0.000914066966023509,0.0153867262088177,4164,1548,TRUE,TRUE
"seda","c_hispanic_white","bin_2000","effect","Effect_4",4,3,1449,613,33,1889,TRUE,"ok",0.00835345371980999,0.0049557184571336,-0.00135957597369228,0.0180664834133123,3338,1449,TRUE,TRUE
"seda","c_hispanic_white","bin_2000","effect","Effect_5",5,4,1381,462,32,1367,TRUE,"ok",0.0057855332660778,0.00578496049748863,-0.00555278096098682,0.0171238474931424,2748,1381,TRUE,TRUE
"seda","c_hispanic_white","bin_2000","effect","Effect_6",6,5,1200,329,32,952,TRUE,"ok",0.0115389711256136,0.00746006827754388,-0.00308249402058216,0.0261604362718094,2152,1200,TRUE,TRUE
"seda","c_hispanic_white","bin_2000","effect","Effect_7",7,6,1078,257,29,645,TRUE,"ok",0.0083538447027293,0.00880638118270917,-0.00890634524951191,0.0256140346549705,1723,1078,TRUE,TRUE
"seda","c_hispanic_white","bin_2000","effect","Effect_8",8,7,874,196,25,389,TRUE,"ok",0.0182039395263108,0.0157781157844857,-0.0127205991551841,0.0491284782078057,1263,874,TRUE,TRUE
